Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Andorra,AND,Tax revenue (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Tax revenue (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.838513147,5.008236547,5.547922134,8.015138006,8.126437228,8.054357652,8.171787775,8.690086356,9.030526186,9.076124336,9.622603502,9.324898794,9.818958347,12.5187797,13.1007799,13.10317565,12.8788867,12.44826845,13.31784636,12.38304156,12.85304269,12.6636277,12.95284151,12.45290276,12.61096661,12.33650694,12.09728364,10.95550149,10.08749931,,
Australia,AUS,Tax revenue (% of GDP),,,,,,,,,,,,,17.86709828,17.04424387,18.08468277,19.90218949,20.32823125,20.56227491,20.43290538,19.79727963,20.44144231,21.49307883,21.61615817,21.74437108,21.04340654,22.5435371,22.60989856,23.26466182,23.17854827,22.6900588,22.47687908,22.37440829,20.68104346,20.01826834,20.0445726,21.21431474,21.92915453,22.43094161,22.27200615,22.47521128,23.07689981,24.94021836,23.6166114,24.36513684,24.34419347,24.83696907,24.5893841,24.0931057,24.25531698,22.04365371,20.52695527,20.35031222,21.11709698,21.95811124,21.90887878,21.8654919,22.11928122,21.91585863,22.9858153,,
Austria,AUT,Tax revenue (% of GDP),,,,,,,,,,,,,17.88878555,18.19695085,18.39734099,18.01092541,17.86233238,17.99929309,18.77754986,18.55011641,18.5780047,18.94982574,18.19042046,18.03258877,18.96407744,18.10378406,17.97233671,17.72008411,18.56280078,17.80575181,17.98108328,18.16717858,18.92048054,18.93545576,18.34557306,24.60010617,25.94003601,26.79771217,26.88984546,26.6278222,26.22507988,27.96557199,26.97550032,26.64696993,26.30867249,25.51395546,25.05044256,25.39199432,26.07751972,25.22516524,25.28163551,25.42798528,25.92819764,26.41517309,26.41789831,26.82616742,25.44109817,25.35523698,25.40554747,,
Belgium,BEL,Tax revenue (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6224194,26.02989167,26.56702432,27.16304179,27.00951188,27.27474136,26.78651211,25.71234509,25.07661801,25.53796126,25.47132993,25.28775048,24.78853753,25.25416988,23.78146279,24.46824242,24.93665681,25.82414125,26.19084708,26.13452545,24.35453781,22.8345882,23.39972096,23.99410617,,
Brazil,BRA,Tax revenue (% of GDP),,,,,,,,,,,,,,,,,,,,,12.11338741,12.22892747,11.87154101,12.536462,10.30843258,10.56762864,10.83888428,10.09747096,9.830105077,9.930851062,12.00912428,9.529726486,9.733795399,10.50015032,11.64282051,,,10.19550483,11.9522879,13.16767827,13.77485584,14.55976349,15.7200793,15.24438358,15.75277073,16.5289705,15.38131159,15.77553383,15.49281373,14.41753153,14.25610396,14.85987623,13.65145753,13.44169026,12.76168689,12.82486326,12.76862281,13.61578088,14.17860559,,
Canada,CAN,Tax revenue (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.16312048,14.4495626,14.35716091,13.69687137,13.11451323,13.3295053,13.92401371,14.61599734,14.71916526,14.75054208,14.90734164,14.23159039,13.42525802,13.27575327,13.39031039,13.34214991,13.38728474,13.36941352,12.42102627,12.33554405,11.76044487,11.83153834,11.66442736,11.6235046,11.80837908,12.38981091,12.49656263,12.71543178,12.91360592,,
Cayman Islands,CYM,Tax revenue (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,Tax revenue (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.569243858,9.057253983,9.771406923,10.10142693,10.30944303,10.21204751,10.31279448,10.2567678,9.907733077,9.678618895,9.376920693,9.122915065,9.419318202,,,
Denmark,DNK,Tax revenue (% of GDP),,,,,,,,,,,,,29.0073425,28.92177263,29.10840133,26.71837402,26.48581,27.07072012,28.13558182,28.60343479,28.5258746,28.04775221,27.09919336,27.80652075,29.0103743,30.5028086,32.74336013,32.22169217,32.44583801,31.39666031,29.72460684,29.12939079,29.48600415,30.84808287,31.56028067,31.66083202,31.87982065,31.7470264,32.04662624,31.92657078,31.59411903,30.16719583,30.11718967,30.14077788,31.29221449,33.07176767,31.86029116,35.09300117,33.42154071,33.18383922,32.73723667,32.75348927,33.44639821,33.81975266,36.50029166,33.92161929,33.29505948,33.67095982,32.38231784,,
