Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Andorra,AND,Physicians (per 1000 people),2.5688,2.6003,2.9,3.3333,3.1324,3.2319,3.0123,3.0109,,3.1479,4,,,,,3.3333,,,,,
Argentina,ARG,Physicians (per 1000 people),,3.2481,,,3.1857,3.21,,,,,3.21,,,3.9385,,,4.0013,3.9901,,,
Australia,AUS,Physicians (per 1000 people),2.5,2.4942,2.5,,,2.7794,2.8338,2.9954,3.0056,3.1085,3.3429,3.2878,3.2858,3.353,3.4314,3.4886,3.5672,3.6778,,,
Austria,AUT,Physicians (per 1000 people),3.8492,3.9616,4.0337,4.1173,4.2095,4.3355,4.4684,4.5528,4.6169,4.706,4.8016,4.8398,4.8859,4.9744,5.0359,5.1035,5.1234,5.1697,,,
Belgium,BEL,Physicians (per 1000 people),2.8204,2.8397,2.8497,2.8454,2.8522,2.8521,2.8664,2.8855,2.9021,2.9078,2.9085,2.9219,2.9393,2.9585,2.9723,3.0138,3.0679,3.0709,,,
Brazil,BRA,Physicians (per 1000 people),1.1337,1.3895,1.4181,1.475,1.587,1.6663,1.7007,1.7306,1.7802,1.8171,1.8139,1.8491,,1.882,,,,2.1652,2.1643,,
Canada,CAN,Physicians (per 1000 people),,1.8871,1.8969,,1.8971,,1.9086,,1.959,,2.0384,,2.3962,2.4509,2.4961,2.5388,2.3105,2.6102,,,
Cayman Islands,CYM,Physicians (per 1000 people),,,,,,,,,,,,,,,,,,,,,
China,CHN,Physicians (per 1000 people),1.2356,1.055,1.1134,,,1.2127,1.247,1.2676,1.3166,1.3922,1.4532,1.4637,1.5367,1.6332,1.6877,1.7732,1.8647,1.9798,,,
Denmark,DNK,Physicians (per 1000 people),2.9119,2.9333,3.0383,3.083,3.2276,3.3333,3.4192,3.4527,3.5768,3.6488,3.7211,3.7808,3.8243,3.8335,3.8632,3.9257,4.0099,,,,
Finland,FIN,Physicians (per 1000 people),2.8541,2.8563,2.892,2.9215,2.9509,2.9913,3.0262,3.0351,3.0618,3.0861,3.2653,3.1221,3.2854,3.2966,3.3922,3.3309,3.8118,,,,
France,FRA,Physicians (per 1000 people),3.3547,3.3871,3.4105,3.4238,3.4395,3.441,3.4357,3.4189,3.4156,3.3693,3.3736,3.1622,3.1745,3.1948,3.2115,3.2239,3.2376,3.2565,3.2672,,
Germany,DEU,Physicians (per 1000 people),3.2785,3.329,3.36,3.3896,3.4104,3.4314,3.4748,3.5287,3.5863,3.6638,3.7567,3.8491,3.9197,4.0087,4.0846,4.1342,4.1944,4.2488,,,
Greenland,GRL,Physicians (per 1000 people),,,,,,,,,,,,,,,,,,,,,
Hong Kong,HKG,Physicians (per 1000 people),,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Physicians (per 1000 people),3.4522,3.4995,3.6067,3.6354,3.6276,3.6339,3.6537,3.6894,3.7182,3.6761,3.5654,3.456,3.5074,3.5697,3.6306,3.7826,3.8892,3.9773,4.0778,,
India,IND,Physicians (per 1000 people),0.5258,0.5368,0.5552,0.5627,0.5717,0.5758,0.5852,0.5984,0.6136,0.622,0.6616,0.7376,0.6982,0.7182,0.7247,,0.759,0.7779,0.8571,,
Indonesia,IDN,Physicians (per 1000 people),0.162,,,0.1339,,,0.13,0.288,,0.1448,0.1395,,0.3075,0.3118,,0.2738,,0.3767,0.4269,,
Ireland,IRL,Physicians (per 1000 people),2.2304,2.3856,2.4166,2.5803,2.7454,3.5427,3.6638,3.8986,4.0144,4.0388,4.1326,4.0938,3.9423,3.9314,3.0292,3.1498,3.2323,3.2946,3.3125,,
Israel,ISR,Physicians (per 1000 people),3.822,3.8398,3.851,3.8513,3.8126,3.754,3.6935,3.6293,3.5637,3.543,3.5191,3.5177,3.5075,3.4866,3.4669,3.4618,3.4632,3.4783,4.6249,,
Italy,ITA,Physicians (per 1000 people),3.4586,3.5129,3.5584,3.6149,3.6809,3.7017,3.6985,3.7751,3.7806,3.7898,3.816,3.8846,3.8514,3.9044,3.9048,3.8479,3.9504,3.9805,3.9774,,
Japan,JPN,Physicians (per 1000 people),2.0058,,2.054,,2.1089,,2.0746,,2.1394,,2.2059,,2.274,,2.3413,,2.4115,,,,
South Korea,KOR,Physicians (per 1000 people),1.3,1.4,1.5,1.573,1.6909,1.7529,1.8047,1.8655,1.8407,1.9185,1.9839,2.0361,2.0798,2.1632,2.207,2.2494,2.3037,2.3608,,,
Luxembourg,LUX,Physicians (per 1000 people),2.5,2.5,2.6,2.7,2.73,2.5994,2.616,2.7227,2.7359,2.717,2.7683,2.7614,2.8047,2.8327,2.8891,2.9222,2.9052,3.009,,,
Macao SAR,MAC,Physicians (per 1000 people),,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,Physicians (per 1000 people),1.9808,1.5,1.5,1.5,2.893,1.7651,1.881,1.9215,1.9494,1.979,2.2362,2.1004,2.1118,2.1568,2.207,2.3246,2.3244,2.3827,,,
Monaco,MCO,Physicians (per 1000 people),,,,,,,,,,,,6.4167,6.4384,7.7778,7.5067,,,,,,
Netherlands,NLD,Physicians (per 1000 people),2.4427,2.5193,2.5815,2.62,2.6469,2.6997,2.7791,2.7724,2.849,2.9057,2.9516,3.1243,3.2463,3.3058,3.3468,3.4917,3.547,3.6054,,,
New Zealand,NZL,Physicians (per 1000 people),,2.3099,2.0665,2.2,,2.7942,2.8402,2.91,2.9793,3.0477,3.0658,3.1731,3.1957,3.2303,3.2374,3.2961,3.3833,3.4728,3.5898,,
Nigeria,NGA,Physicians (per 1000 people),0.269,,,0.2648,,0.2824,0.3481,0.3784,0.3762,0.3782,0.1836,,,0.3828,,,0.4494,,0.3806,,
Norway,NOR,Physicians (per 1000 people),2.9,3,2.0548,2.1015,2.2115,2.296,2.3597,2.4069,2.4077,2.4756,2.4949,2.5441,2.5532,2.5991,2.6832,2.6474,2.6983,2.8342,2.9164,,
Poland,POL,Physicians (per 1000 people),2.2053,2.2504,2.2882,2.4188,2.2771,2.1267,2.1671,2.1776,2.1482,2.1593,2.1707,2.1997,2.2242,2.234,2.302,2.3252,2.4146,2.3788,,,
Qatar,QAT,Physicians (per 1000 people),,2.217,,,,2.4844,2.2617,,3.2087,3.0975,3.7273,,,,1.7351,,2.6944,0.0008,2.4852,,
Russian Federation,RUS,Physicians (per 1000 people),2.3225,2.2958,2.3193,2.3163,2.3099,2.3204,2.3721,2.3841,2.3812,2.3924,2.393,6.6305,4.1303,4.0705,4.0114,3.7494,4.0139,,,,
San Marino,SMR,Physicians (per 1000 people),,,,,,,,,,,,4.8896,5.109,5.0307,6.1094,,,,,,
