Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
World,WLD,External health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.592637537,0.576982845,0.628653618,0.696619875,1.067177135,1.041922709,1.252183864,1.433700082,1.644916285,1.702939125,2.027251935,2.222647364,2.217321831,2.405294719,2.719751118,2.240838561,2.080522064,2.148571314,,,
Andorra,AND,External health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Argentina,ARG,External health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215988994,1.348011613,4.379739285,0.895652354,19.48290062,4.614656925,1.47677815,1.302993417,6.858589172,2.244157553,3.087805033,6.955265999,7.071518421,6.288373947,6.74190855,4.313019753,3.531855345,6.57989645,,,
Australia,AUS,External health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Austria,AUT,External health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Belgium,BEL,External health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Brazil,BRA,External health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991657734,0.763799965,0.777038872,0.493283808,1.562065482,0.258481055,0.513046741,0.490130514,0.376919955,1.070475698,2.193224192,3.477262974,1.184579015,0.662103832,1.393600225,0.625100195,0.589145005,0.616686165,,,
Canada,CAN,External health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Cayman Islands,CYM,External health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,External health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010788559,0.097259611,0.071973391,0.071534336,0.078633107,0.152034029,0.118538149,0.176640064,0.20669812,0.172808185,0.228546053,0.179650322,0.159577459,0.181969211,0.109190293,0.033784036,0.006433953,0.001994419,,,
