Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Andorra,AND,Domestic general government health expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.99244463,13.19181323,12.59224564,10.66864654,9.72577855,10.99657342,10.97174361,10.94918177,10.92858985,10.90972051,10.89236662,11.57501787,12.46814057,13.43714446,14.95778114,15.24368525,14.01755512,14.01755512,,,
Argentina,ARG,Domestic general government health expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.81988442,17.3733294,18.45797002,17.12620705,16.25915617,16.02220833,15.09966254,14.40140903,14.65610117,16.42301381,16.69303328,16.27794802,16.66150391,16.54280722,16.28563553,16.49756283,13.48638982,16.05131179,,,
Australia,AUS,Domestic general government health expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.16428292,15.11679739,15.88337123,15.98158032,16.40865058,16.3349703,16.51004255,16.93683565,16.56466722,16.16214663,16.26325101,16.64990634,16.25464559,16.52748585,16.62887484,17.22873449,17.48488843,17.79732704,,,
Austria,AUT,Domestic general government health expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.37524503,13.29257935,13.51373047,13.61917406,13.0268842,13.67242336,13.78215998,14.09157813,14.38890547,13.75788003,14.00380135,14.31893855,14.51292932,14.37263042,14.34008479,14.69109952,14.96718228,15.3053984,,,
Belgium,BEL,Domestic general government health expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.06723005,12.41342276,12.30567321,13.33052814,14.20668513,13.39431256,13.98462951,13.99281919,14.32244182,14.55422044,14.53510374,14.4189015,14.35229331,14.41491097,14.70677257,14.84167576,14.96305615,15.31389654,,,
Brazil,BRA,Domestic general government health expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.06367356,9.695516527,9.47290808,8.561163396,9.066973627,8.40768218,9.032724053,9.260009974,9.366369247,9.991086274,9.220076352,9.223227948,9.011042118,9.483257681,9.723278135,9.849166125,9.924077988,10.25529578,,,
Canada,CAN,Domestic general government health expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.81562704,15.27647972,15.88256657,16.36354476,16.9260785,17.1310395,17.65489578,17.96355397,18.19825619,18.23414713,18.25934947,18.48841012,18.79557371,19.0253213,19.47153062,19.55002397,19.52591091,19.32792515,,,
Cayman Islands,CYM,Domestic general government health expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,Domestic general government health expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.089840829,5.589236319,6.025789678,6.876515597,7.266055793,7.488824427,7.563826442,7.901349664,7.708581537,8.375234902,8.750924468,8.602852374,9.037293494,9.41683948,9.626540542,9.393274784,9.064706415,9.07209143,,,
Denmark,DNK,Domestic general government health expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.78373748,13.33597302,13.70535046,13.92824948,14.19999748,14.85673338,15.43233246,15.74048102,15.85259885,15.94620645,15.29368311,15.04397988,14.8402676,15.35104066,15.50893337,15.78934044,16.26274735,16.60234183,,,
