Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
World,WLD,Domestic general government health expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.55136807,57.50351524,57.50000826,58.06724203,58.63121526,58.55176587,58.8021241,59.13133343,59.98563541,60.48601853,60.30939573,60.96666148,60.61474416,60.42427001,60.76908556,60.15912556,59.76661986,59.53976421,,,
Andorra,AND,Domestic general government health expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.56835973,42.13892221,41.29885435,37.69895732,35.4281038,38.39508295,37.87595034,38.14204037,40.93517065,43.13413799,44.57272589,45.83247304,46.45482302,47.20256031,47.77916968,48.3258903,49.01511073,49.03199375,,,
Argentina,ARG,Domestic general government health expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.7317028,54.85204458,54.55613732,54.71241474,51.79897547,51.41876936,53.22989821,55.90403676,58.76477957,62.92489171,64.64551091,67.66082048,72.54151702,74.3060708,76.61811113,77.65114307,74.11042452,72.43211865,,,
Australia,AUS,Domestic general government health expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.37930083,67.75609255,68.62617135,68.050313,68.34458113,68.40206385,68.30727458,69.30779815,68.99900436,69.29585338,68.6365366,69.21322942,67.5357461,67.55192876,67.35797524,68.20805669,68.59477758,68.91285181,,,
Austria,AUT,Domestic general government health expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.16340709,73.64528775,73.43814373,73.1382668,72.05495238,72.65169024,72.85013795,72.79901505,73.7875998,72.84671068,72.39570618,72.68902659,72.87378311,72.16905951,72.51709104,72.45601416,72.21488953,72.39254117,,,
Belgium,BEL,Domestic general government health expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.53091741,75.332129,73.72327447,74.24271703,76.18306875,76.77597404,76.02808475,75.44403076,77.12956667,77.76124477,77.72874832,77.54881382,78.10401917,77.6061058,78.05481553,77.5724709,77.0919621,77.21738815,,,
Brazil,BRA,Domestic general government health expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.63555503,41.08930528,42.38710403,42.85684228,42.6702708,41.63146615,42.92739332,42.48596728,43.74352992,44.16326582,45.02125382,44.49915588,43.36180687,44.51945722,44.05274689,42.91180968,42.95980334,41.87937677,,,
Canada,CAN,Domestic general government health expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.85163999,72.80158401,72.43798375,73.13981652,73.06193709,73.03554416,73.22179675,73.45314622,73.65753651,74.08288717,73.78463149,74.42243695,74.51617122,74.52129722,74.4761169,74.60772395,73.89766574,73.71863723,,,
Cayman Islands,CYM,Domestic general government health expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,Domestic general government health expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.97528929,22.91764319,25.38583577,28.37373912,30.24400473,32.75773525,35.13990045,39.02609348,44.52240169,49.39831495,51.90622807,53.72208953,55.73527217,57.05029368,58.41549039,60.18100977,58.10143352,56.67334795,,,
