Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
World,WLD,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.96437802,5.186288077,5.371184091,5.508185203,5.493108791,5.441540513,5.416335637,5.347970175,5.440601871,5.94631836,5.737389415,5.723242532,5.693860863,5.704002575,5.783422013,5.913157139,5.964331131,5.888632627,,,
Andorra,AND,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.885852173,3.94548066,3.766158968,3.190838173,2.908839844,3.288916126,3.194564208,3.214764595,3.599241748,3.893604875,4.211976007,4.475950822,4.66728881,4.773176461,4.91001606,4.954714701,5.060372874,5.060372874,,,
Argentina,ARG,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63411361,4.728776962,4.171745107,3.891285881,3.744383529,3.913399577,4.018989205,4.25491631,4.508531466,5.669824034,5.568346009,5.681183562,6.134863943,6.22041896,6.327302009,6.824374199,5.591186509,6.6089347,,,
Australia,AUS,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.206260458,5.214668065,5.416836962,5.379014835,5.542416498,5.465394631,5.457374826,5.591424555,5.696406588,5.933924392,5.786624551,5.91189824,5.859168246,5.916563421,6.08782135,6.353408843,6.308033317,6.344080716,,,
Austria,AUT,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.825786829,6.826497614,6.899340451,6.982685626,6.996102631,6.994199753,6.943443418,6.939272583,7.176320255,7.449176908,7.399579138,7.287897915,7.432510704,7.423128188,7.51863867,7.512087375,7.524191588,7.526375353,,,
Belgium,BEL,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.919247866,6.105909869,6.092121452,6.760521233,6.951740384,6.915193796,6.77568689,6.751394272,7.201427966,7.881132513,7.753235102,7.860855758,8.017984778,8.047488332,8.12901482,7.974552363,7.943906635,7.983250171,,,
Brazil,BRA,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.470240906,3.513107449,3.689518571,3.513022512,3.471376002,3.348869085,3.545323014,3.487143293,3.506463021,3.710814565,3.578769788,3.465728462,3.354166448,3.55135873,3.698692471,3.806364909,3.954967856,3.964920342,,,
Canada,CAN,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.028967351,6.301195174,6.438460946,6.613881141,6.646616757,6.62022382,6.845635176,6.937547028,7.074023783,7.937452197,7.88172707,7.704585046,7.710853219,7.62155056,7.489032298,7.841788232,7.935039699,7.794101536,,,
Cayman Islands,CYM,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.983045902,0.967204943,1.103839371,1.242861524,1.287455857,1.356895827,1.377030741,1.427841745,1.726234518,2.134908363,2.1842096,2.323755994,2.535619214,2.687081508,2.788303979,2.942082845,2.894544043,2.919353731,,,
Denmark,DNK,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.735337526,7.046385109,7.293207943,7.4710235,7.525625825,7.612813264,7.689893246,7.805928588,7.991418242,9.015395492,8.667422086,8.489214629,8.600666374,8.569008857,8.563678712,8.609555662,8.564700186,8.493383974,,,
Finland,FIN,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.081791431,5.22608459,5.562179163,5.83819896,5.974999443,6.148722395,6.224697828,6.08353354,6.290866435,6.911986321,6.858631968,6.974333525,7.296952605,6.752451509,7.416169345,7.530388236,7.214275002,7.065862417,,,
France,FRA,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.560290396,7.658915222,7.935158163,7.943102717,8.008089662,8.03751573,8.034732938,7.967301458,8.050271869,8.651884645,8.580611646,8.523544669,8.617036045,8.728129417,8.869667351,8.787080646,8.824244142,8.721329272,,,
Germany,DEU,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.70066306,7.724889368,7.880993187,8.016107231,7.666232437,7.753144205,7.624235004,7.505640388,7.660184056,8.439527452,8.33689943,8.087839186,8.135781437,8.349680156,8.443641663,8.529745787,8.597800136,8.734278381,,,
Greenland,GRL,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.212183625,7.10003674,7.727783173,8.148357272,7.686017454,7.442480326,7.236190885,7.122642547,7.092513144,7.269831747,6.862328202,6.605683267,6.550722569,6.597081572,6.66481927,6.588947773,6.624033302,6.8132855,,,
