Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Andorra,AND,Hospital beds (per 1000 people),3.200000048,2.589999914,,3.299999952,,2.7,2.6,2.6,,2.5,,,,,,,,,,,
Argentina,ARG,Hospital beds (per 1000 people),4.1,,,,,4,,,,,4.5,4.5,4.7,4.9,5,,,,,,
Australia,AUS,Hospital beds (per 1000 people),7.800000191,7.599999905,4,,3.9,4,3.97,,,3.8,3.9,3.8,,,3.8,,,,,,
Austria,AUT,Hospital beds (per 1000 people),7.9,7.8,7.8,7.7,7.7,7.7,7.7,7.8,7.7,7.7,7.7,7.7,7.7,7.6,,,,,,,
Belgium,BEL,Hospital beds (per 1000 people),7.8,7.7,7.6,7.5,7.5,7.4,6.7,6.6,6.6,6.5,6.5,6.4,6.3,6.3,6.2,,,,,,
Brazil,BRA,Hospital beds (per 1000 people),,,2.6,,,2.4,,,,2.4,2.4,2.3,2.3,2.3,2.2,,,,,,
Canada,CAN,Hospital beds (per 1000 people),3.4,3.700000048,3.700000048,3.6,,3.4,3.4,,3.4,3.2,2.7,2.7,2.7,,,,,,,,
Cayman Islands,CYM,Hospital beds (per 1000 people),,,,,,,,,,,,,,,,,,,,,
China,CHN,Hospital beds (per 1000 people),2.519999981,2.519999981,2.450000048,2.2,3,2.45,2.23,,,4.2,3.56,3.8,4.2,,,,,,,,
Denmark,DNK,Hospital beds (per 1000 people),4.3,4.2,4.3,4.1,4,3.9,3.8,3.7,3.6,3.5,3.5,3.1,,3.1,,2.5,,,,,
Finland,FIN,Hospital beds (per 1000 people),7.5,7.5,7.4,7.2,7.1,7.1,7,6.7,6.6,6.3,5.9,5.5,5.3,4.9,,4.4,,,,,
France,FRA,Hospital beds (per 1000 people),8.2,8.1,8,7.8,7.6,7.5,7.3,7.3,7.1,6.9,6.6,6.6,6.5,6.5,,,,,,,
Germany,DEU,Hospital beds (per 1000 people),9.1,9,8.9,8.7,8.6,8.5,8.3,8.2,8.2,8.2,8.2,8.2,8.2,8.3,,,,,,,
Greenland,GRL,Hospital beds (per 1000 people),,,,,,,,,,,,,,,,,,,,,
Hong Kong,HKG,Hospital beds (per 1000 people),,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Hospital beds (per 1000 people),,,7.5,,,,5.3391,4.2,3.9,3.7,3.6,3.3,3.3,3.2,3.2,,,,,,
India,IND,Hospital beds (per 1000 people),,,0.69,0.899999976,,0.9,,,,,,0.7,,,,,,,,,
Indonesia,IDN,Hospital beds (per 1000 people),,,0.6,,,,,,,,0.6,,0.9,,,1.2,,,,,
Ireland,IRL,Hospital beds (per 1000 people),6.2,5.9,5.8,5.7,5.7,5.5,5.3,5.2,4.9,3.2,3,2.9,2.8,2.8,,,,,,,
Israel,ISR,Hospital beds (per 1000 people),3.7,3.8,3.8,3.8,3.7,3.7,3.4,3.3,3.2,3.2,3.2,3.1,3.1,3.1,,,,,,,
Italy,ITA,Hospital beds (per 1000 people),4.7,4.6,4.4,4.2,4,4,3.9,3.8,3.7,3.6,3.6,3.5,3.4,,,,,,,,
Japan,JPN,Hospital beds (per 1000 people),14.69999981,12.9,14.39999962,14.30000019,13.9,14.1,13.98,,13.8,13.7,,,13.4,,,,,,,,
South Korea,KOR,Hospital beds (per 1000 people),6.099999905,6.099999905,6.6,7.099999905,8.6,,8.64,,12.3,10.3,,,10.3,,,11.5,,,,,
Luxembourg,LUX,Hospital beds (per 1000 people),6.199999809,6.099999905,6,6,6.4,5.8,5.7,5.7,5.6,5.5,5.4,5.3,5.2,5.1,4.9,4.8,,,,,
Macao,MAC,Hospital beds (per 1000 people),,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,Hospital beds (per 1000 people),1.100000024,1.100000024,1.100000024,1,1,,1.6,1.7,1.6,1.6,1.7,1.5,1.5,1.6,,1.5,,,,,
Monaco,MCO,Hospital beds (per 1000 people),,,,,,,,,,,,16.46,13.8,,,,,,,,
Netherlands,NLD,Hospital beds (per 1000 people),4.8,4.7,4.6,4.5,4.5,4.5,4.8,4.7,4.7,4.7,,,,,,,,,,,
New Zealand,NZL,Hospital beds (per 1000 people),,,6.2,,,,,,,,,2.3,,2.8,,,,,,,
Nigeria,NGA,Hospital beds (per 1000 people),1.2,,,,0.5,,,,,,,,,,,,,,,,
