Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
World,WLD,Adjusted net national income (current US$),,,,,,,,,,,2.56E+12,2.82E+12,3.26E+12,3.96E+12,4.46E+12,4.96E+12,5.37E+12,6.05E+12,7.17E+12,8.14E+12,9.07E+12,9.43E+12,9.41E+12,9.55E+12,9.94E+12,1.04E+13,1.24E+13,1.41E+13,1.59E+13,1.65E+13,1.86E+13,1.97E+13,2.10E+13,2.12E+13,2.29E+13,2.55E+13,2.62E+13,2.62E+13,2.63E+13,2.72E+13,2.79E+13,2.78E+13,2.88E+13,3.23E+13,3.64E+13,3.93E+13,4.27E+13,4.78E+13,5.15E+13,4.91E+13,5.39E+13,5.96E+13,6.12E+13,6.29E+13,6.51E+13,6.19E+13,6.27E+13,6.66E+13,7.05E+13,,
Andorra,AND,Adjusted net national income (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Adjusted net national income (current US$),,,,,,,,,,,28825311700,31964908083,32402049889,49999172813,68325947542,49713542862,47657554696,52682041855,53576146083,62219395342,68376048578,69147815527,72513132336,89985030606,68420114273,76502480565,99008887611,98272659318,1.12E+11,62950156403,1.23E+11,1.69E+11,2.07E+11,2.15E+11,2.32E+11,2.29E+11,2.42E+11,2.59E+11,2.63E+11,2.46E+11,2.44E+11,2.30E+11,77142365092,1.05E+11,1.25E+11,1.50E+11,1.94E+11,2.44E+11,3.06E+11,2.81E+11,3.59E+11,4.52E+11,4.65E+11,4.69E+11,4.45E+11,5.10E+11,4.75E+11,5.44E+11,4.29E+11,,
Australia,AUS,Adjusted net national income (current US$),,,,,,,,,,,33682985316,36810495966,43062124156,53121655258,73552174142,80829772456,87278505023,90187112894,97003024607,1.08E+11,1.21E+11,1.45E+11,1.56E+11,1.44E+11,1.57E+11,1.44E+11,1.45E+11,1.50E+11,1.89E+11,2.38E+11,2.41E+11,2.53E+11,2.53E+11,2.46E+11,2.57E+11,2.90E+11,3.17E+11,3.45E+11,3.18E+11,3.10E+11,3.27E+11,3.00E+11,3.14E+11,3.72E+11,4.86E+11,5.37E+11,5.72E+11,6.44E+11,7.95E+11,7.17E+11,8.81E+11,1.07E+12,1.20E+12,1.23E+12,1.13E+12,1.05E+12,9.37E+11,1.03E+12,1.08E+12,,
Austria,AUT,Adjusted net national income (current US$),,,,,,,,,,,13161188357,15271022773,18861094605,25299873331,30105532353,34134838700,36776897100,43936645058,52653709356,62825317891,69332981870,59588828010,59863539659,60835873955,57289504780,58595220876,83439362177,1.05E+11,1.13E+11,1.13E+11,1.41E+11,1.47E+11,1.65E+11,1.60E+11,1.71E+11,2.02E+11,1.99E+11,1.78E+11,1.82E+11,1.79E+11,1.63E+11,1.62E+11,1.76E+11,2.17E+11,2.50E+11,2.62E+11,2.81E+11,3.25E+11,3.62E+11,3.30E+11,3.26E+11,3.57E+11,3.37E+11,3.54E+11,3.63E+11,3.10E+11,3.25E+11,3.39E+11,3.72E+11,,
Belgium,BEL,Adjusted net national income (current US$),,,,,,,,,,,23271720372,26031349961,32520939996,41948894715,49081930179,57576764159,62766054508,72369647464,88348473364,1.01E+11,1.07E+11,87893726251,76911560675,72794161135,70191532249,73004263651,1.02E+11,1.28E+11,1.40E+11,1.41E+11,1.76E+11,1.81E+11,2.01E+11,1.94E+11,2.14E+11,2.49E+11,2.41E+11,2.18E+11,2.23E+11,2.21E+11,2.03E+11,2.01E+11,2.18E+11,2.68E+11,3.10E+11,3.23E+11,3.41E+11,3.92E+11,4.31E+11,3.97E+11,3.96E+11,4.22E+11,4.11E+11,4.33E+11,4.43E+11,3.81E+11,3.91E+11,4.16E+11,4.44E+11,,
Brazil,BRA,Adjusted net national income (current US$),,,,,,,,,,,37860210598,44146195735,52523403588,70588196581,93417046174,1.09E+11,1.34E+11,1.54E+11,1.74E+11,1.94E+11,1.99E+11,2.21E+11,2.33E+11,1.64E+11,1.69E+11,1.80E+11,2.20E+11,2.44E+11,2.74E+11,3.94E+11,3.90E+11,5.16E+11,3.45E+11,3.75E+11,4.70E+11,6.70E+11,7.31E+11,7.54E+11,7.27E+11,4.97E+11,5.51E+11,4.69E+11,4.23E+11,4.67E+11,5.55E+11,7.39E+11,9.20E+11,1.16E+12,1.40E+12,1.41E+12,1.83E+12,2.17E+12,2.05E+12,2.09E+12,2.07E+12,1.53E+12,1.52E+12,1.75E+12,1.57E+12,,
Canada,CAN,Adjusted net national income (current US$),,,,,,,,,,,72711941322,82431306016,94514747916,1.09E+11,1.30E+11,1.42E+11,1.70E+11,1.73E+11,1.78E+11,1.92E+11,2.15E+11,2.42E+11,2.48E+11,2.72E+11,2.84E+11,2.93E+11,3.05E+11,3.50E+11,4.11E+11,4.56E+11,4.76E+11,4.93E+11,4.75E+11,4.64E+11,4.65E+11,4.87E+11,5.04E+11,5.26E+11,5.08E+11,5.45E+11,5.99E+11,5.91E+11,6.16E+11,7.26E+11,8.33E+11,9.53E+11,1.08E+12,1.20E+12,1.26E+12,1.11E+12,1.31E+12,1.46E+12,1.49E+12,1.51E+12,1.47E+12,1.26E+12,1.24E+12,1.35E+12,1.40E+12,,
Cayman Islands,CYM,Adjusted net national income (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,Adjusted net national income (current US$),,,,,,,,,,,85255614965,91788922047,1.04E+11,1.27E+11,1.29E+11,1.43E+11,1.33E+11,1.51E+11,1.27E+11,1.44E+11,1.51E+11,1.55E+11,1.67E+11,1.93E+11,2.21E+11,2.64E+11,2.62E+11,2.36E+11,2.73E+11,3.01E+11,3.08E+11,3.34E+11,3.76E+11,3.87E+11,4.91E+11,6.25E+11,7.32E+11,8.14E+11,8.64E+11,9.14E+11,1.00E+12,1.10E+12,1.22E+12,1.37E+12,1.57E+12,1.81E+12,2.15E+12,2.73E+12,3.42E+12,3.88E+12,4.50E+12,5.38E+12,6.20E+12,6.98E+12,7.80E+12,8.30E+12,8.46E+12,9.22E+12,1.07E+13,,
Denmark,DNK,Adjusted net national income (current US$),,,,,,,,,,,14497956264,16141569138,19681993434,26567258166,28984054367,34455779272,38323255911,42964070073,52315491480,60338094750,59557377737,50708935788,49293029546,49570135693,48209238300,51064040091,72645097343,90171742014,94197452766,90527396819,1.11E+11,1.11E+11,1.23E+11,1.15E+11,1.26E+11,1.51E+11,1.53E+11,1.41E+11,1.45E+11,1.46E+11,1.32E+11,1.33E+11,1.44E+11,1.76E+11,2.05E+11,2.18E+11,2.35E+11,2.62E+11,2.87E+11,2.63E+11,2.66E+11,2.86E+11,2.73E+11,2.91E+11,3.03E+11,2.60E+11,2.68E+11,2.81E+11,3.05E+11,,
Finland,FIN,Adjusted net national income (current US$),,,,,,,,,,,9847791992,10754446563,12630566858,16610945574,21022901768,24639662464,26492034995,27467170459,29725795730,36883325690,44271350327,42918117077,43191050656,41494676550,43159888970,45618058023,60232655351,74631773053,88942842619,95465839032,1.11E+11,97472379820,84337292386,66433020399,78661160000,1.06E+11,1.05E+11,1.03E+11,1.09E+11,1.11E+11,1.04E+11,1.07E+11,1.16E+11,1.41E+11,1.64E+11,1.70E+11,1.81E+11,2.12E+11,2.34E+11,2.06E+11,2.05E+11,2.25E+11,2.09E+11,2.20E+11,2.24E+11,1.92E+11,1.97E+11,2.08E+11,2.26E+11,,
France,FRA,Adjusted net national income (current US$),,,,,,,,,,,1.31E+11,1.46E+11,1.78E+11,2.31E+11,2.47E+11,3.10E+11,3.20E+11,3.51E+11,4.37E+11,5.30E+11,6.02E+11,5.26E+11,4.96E+11,4.71E+11,4.46E+11,4.68E+11,6.59E+11,8.00E+11,8.73E+11,8.76E+11,1.08E+12,1.07E+12,1.19E+12,1.12E+12,1.18E+12,1.36E+12,1.37E+12,1.25E+12,1.30E+12,1.30E+12,1.18E+12,1.19E+12,1.28E+12,1.57E+12,1.81E+12,1.88E+12,1.98E+12,2.27E+12,2.48E+12,2.27E+12,2.23E+12,2.43E+12,2.26E+12,2.37E+12,2.40E+12,2.06E+12,2.08E+12,2.19E+12,2.33E+12,,
Germany,DEU,Adjusted net national income (current US$),,,,,,,,,,,1.89E+11,2.18E+11,2.61E+11,3.46E+11,3.84E+11,4.21E+11,4.47E+11,5.16E+11,6.38E+11,7.56E+11,8.09E+11,6.74E+11,6.51E+11,6.48E+11,6.12E+11,6.19E+11,8.85E+11,1.10E+12,1.19E+12,1.19E+12,1.51E+12,1.58E+12,1.80E+12,1.73E+12,1.84E+12,2.16E+12,2.08E+12,1.84E+12,1.86E+12,1.81E+12,1.60E+12,1.60E+12,1.69E+12,2.04E+12,2.34E+12,2.38E+12,2.53E+12,2.89E+12,3.11E+12,2.84E+12,2.85E+12,3.17E+12,2.97E+12,3.14E+12,3.26E+12,2.84E+12,2.94E+12,3.10E+12,3.34E+12,,
