Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
World,WLD,Adjusted net national income (annual % growth),,,,,,,,,,,,3.818673604,5.660818679,6.060651303,-1.273954439,0.767347593,4.950618071,3.583419912,4.500989566,1.998157164,0.503550736,1.769206801,0.844776556,3.699403922,5.984897832,4.964759593,3.597315133,2.689401969,2.521930711,3.489728868,3.147985574,1.510875886,2.458439045,1.509680005,3.794695943,3.323777651,2.242596587,3.632228366,1.600859019,2.714768382,3.506532377,1.879719525,3.709017954,1.46700607,5.361823034,3.617187817,4.879359645,4.982812787,-0.270407727,-1.05991149,5.12893909,2.921838188,2.836241908,2.476508852,3.168270405,3.207114609,2.375065596,3.305020853,2.788583264,,
Andorra,AND,Adjusted net national income (annual % growth),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Adjusted net national income (annual % growth),,,,,,,,,,,,10.46801078,-0.562643785,5.902152596,3.415453471,0.122839399,-2.081251924,5.540651127,-5.325937245,6.777813225,3.953967358,-6.569333762,-7.277198695,4.912352412,2.002292414,-6.597358942,8.845772411,1.170344623,-0.634062222,-12.93424378,0.452353683,15.39858661,14.27429098,5.662146208,5.140302505,-4.463133187,6.410660029,7.54573425,3.138627546,-5.555416587,-1.086892718,-4.829732007,-11.0412775,10.70794659,-1.204103081,7.026525795,20.4155688,11.86675534,5.863404539,-6.915798609,12.2232068,9.488160961,-1.270034341,1.84172722,-3.902096915,4.093233427,-2.182412379,3.557513308,-5.338388504,,
Australia,AUS,Adjusted net national income (annual % growth),,,,,,,,,,,,3.633201532,6.323327031,6.857238105,3.399563413,3.912690203,1.086469158,2.001192156,1.252253111,1.978898718,3.689582042,4.881884698,2.154738896,0.419911873,4.514780292,1.84745439,2.871988871,1.784028512,7.669033528,4.745424896,1.39867768,-0.304978737,0.215656788,4.668470737,4.169475987,3.271529814,5.17123674,4.630426133,4.716421741,4.064053269,3.319302362,3.309901081,4.493284641,3.584699109,5.29877754,2.406964366,3.599451767,3.930574511,4.99688003,6.174401598,1.19703484,5.823646538,5.564626505,0.963741231,0.34413361,0.901211421,0.11755551,5.148645677,0.742892201,,
Austria,AUT,Adjusted net national income (annual % growth),,,,,,,,,,,,4.609210882,6.416486171,5.965163916,2.063537217,-0.008211281,4.523129357,4.619202299,0.394803974,5.067947685,0.760035257,-0.789581776,1.910126726,3.593687916,0.168601495,2.18483822,2.715886626,1.881138143,3.923386514,3.852810568,4.481561524,2.906571843,1.982665282,-0.064868827,2.427488233,2.149808472,2.202860492,1.421705972,3.342419175,1.918770954,3.683727789,0.235000044,2.641782037,0.930192962,2.994172257,1.835997778,4.129097024,3.397881362,1.576769112,-5.068697951,1.911940851,1.518027482,-0.396553352,-0.232736594,0.891034983,0.531124725,3.632669675,0.622111963,2.70371373,,
Belgium,BEL,Adjusted net national income (annual % growth),,,,,,,,,,,,3.341699421,6.421494327,6.918845916,1.669403463,-1.200454617,5.745422056,0.062691026,2.860047247,1.901216974,-0.590187674,-2.620758636,-0.145116373,0.822587804,3.17777547,2.886137664,4.801463868,3.169446396,6.012065488,3.598197172,2.812938721,2.115779842,2.405982262,0.692322172,3.89844022,1.590459217,0.457777277,3.552515154,2.008881389,2.388731316,2.703495746,-0.00266887,1.886608939,0.31985749,2.363996103,1.326520186,1.767594189,3.57594264,-1.345861695,-1.413056544,1.4413755,-1.325661412,3.251823666,1.001706752,1.650427023,2.333869313,1.66277319,1.70804113,-0.170707097,,
Brazil,BRA,Adjusted net national income (annual % growth),,,,,,,,,,,,11.64222526,12.37900396,12.21460972,5.160031229,2.928049643,13.84705505,6.897196485,1.727040506,6.489032169,5.460823095,-4.108712769,-0.006504813,-1.301950687,8.553901273,3.511397864,7.082494563,2.911637842,1.560741991,11.67225942,-13.08565052,6.76302817,1.181558883,2.634893197,3.939368122,8.535983734,0.342004848,2.602345622,-1.055838721,-2.314657557,4.453441118,0.932014787,3.76164738,0.897594707,5.270075001,3.33756426,4.752025005,5.426975806,4.245700856,5.421577929,5.119340765,5.244466971,2.491879409,4.304462693,-0.32263514,-2.841612164,-3.226387136,0.886890915,-0.310564987,,
Canada,CAN,Adjusted net national income (annual % growth),,,,,,,,,,,,4.908271942,6.575527109,7.27828409,3.767974759,2.598582685,5.584460496,1.994294055,2.709966737,1.250764757,1.612133655,3.127166557,-2.959281257,3.448412898,5.542745673,4.799612049,1.934103878,5.196734172,4.646823591,2.472563144,-0.895295054,-1.691924417,-0.236739773,2.497808491,4.349606696,4.078616419,1.621447229,4.435777352,1.978516276,6.019321566,7.290474237,0.659775964,3.22583329,3.813905314,4.708005591,4.580873713,3.564162104,2.968210593,1.383169071,-6.273282331,5.503896365,4.471365022,1.305066604,2.695026786,2.297335117,-2.401179612,0.719230312,5.37223011,1.566577875,,
Cayman Islands,CYM,Adjusted net national income (annual % growth),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,Adjusted net national income (annual % growth),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.35451347,9.25632649,8.59204261,8.630226232,8.774227355,10.83045888,11.6146869,11.19322944,10.23226338,12.56217755,13.62321962,14.24394047,6.085292424,13.26209667,9.4106958,5.156978162,9.487494175,7.77350999,9.763190389,8.724621259,7.761353424,5.850541267,9.759628646,,
