Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Andorra,AND,Nurses and midwives (per 1000 people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.457,,2.7061,2.9173,3.1677,3.318,3.1798,3.1286,2.9372,2.9096,3.3714,3.1975,3.3857,,3.6805,4.765,,,,,4.0128,,,,,
Argentina,ARG,Nurses and midwives (per 1000 people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0579,,2.151,,,,0.8041,,,0.4453,,,0.4854,,,,,,,,,4.2463,,,2.5821,2.5996,,,
Australia,AUS,Nurses and midwives (per 1000 people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3597,,,,,9.7484,,,,9.7628,10.797,10.1586,10.2627,10.7496,10.4017,10.8124,10.1433,11.9398,12.1107,12.2016,12.4053,12.5508,,,
Austria,AUT,Nurses and midwives (per 1000 people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0247,4.1562,4.351,4.6025,4.9151,5.1019,5.2092,5.3303,5.4156,5.5684,5.6942,5.7417,5.843,5.8487,6.0964,6.1789,6.342,6.4122,6.5626,6.6734,6.7211,6.8065,6.8288,6.874,6.9807,7.0138,7.0183,7.0899,,,
Belgium,BEL,Nurses and midwives (per 1000 people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.829,9.181,9.4046,9.5324,9.6536,9.7552,9.8818,10.0931,10.3901,10.626,10.9082,11.1914,11.808,11.9781,18.9734,19.4614,,
Brazil,BRA,Nurses and midwives (per 1000 people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9495,3.185,1.1451,1.2642,1.4166,1.5762,1.8444,2.0555,2.2744,2.5418,3.7709,2.9897,3.377,3.6596,3.7286,3.7654,3.7603,6.5112,6.4453,,7.3497,,,7.5635,8.788,9.1081,9.351,9.737,10.119,,
Canada,CAN,Nurses and midwives (per 1000 people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1846,,,10.0115,9.4707,,9.9067,9.9467,10.0236,10.1208,10.289,10.3743,9.3233,9.2368,9.3473,9.4788,9.7475,9.8188,9.8803,9.9491,9.9438,,
Cayman Islands,CYM,Nurses and midwives (per 1000 people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,Nurses and midwives (per 1000 people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8238,,,,,0.9024,0.924,0.9445,0.9531,0.9662,0.9763,1.083,0.9483,0.9573,0.9836,1.0086,1.0599,1.1518,1.233,1.3552,1.4881,1.6213,1.7938,1.9886,2.1349,2.2914,2.4665,2.6621,,,
Denmark,DNK,Nurses and midwives (per 1000 people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8992,8.977,8.9124,8.9499,9.0428,9.2912,9.4002,9.3575,9.5406,9.578,9.6931,9.5342,9.6891,9.8279,9.7904,9.5406,9.8167,10.0744,10.0978,10.1437,10.2296,10.2323,10.2216,10.2414,10.3195,,,,
Finland,FIN,Nurses and midwives (per 1000 people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0208,10.968,14.7015,15.0386,14.3485,12.4473,12.8995,13.5157,13.7494,13.5137,13.9318,14.257,14.4892,14.6192,14.6031,14.6757,,14.7374,,,,
France,FRA,Nurses and midwives (per 1000 people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5735,,,,,6.0909,,,6.424,7.1139,7.3127,7.4886,7.6822,7.8869,8.1181,8.3198,8.1853,8.4741,8.7688,9.0124,9.286,9.688,9.9817,10.2792,10.5952,10.8898,11.162,11.4707,,
Germany,DEU,Nurses and midwives (per 1000 people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2947,10.3862,10.5108,10.7211,10.8272,10.9923,11.1204,11.2946,11.5215,11.8171,11.9143,12.0585,12.1523,12.5286,12.7562,12.9115,13.1397,13.2352,,,
Greenland,GRL,Nurses and midwives (per 1000 people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
