Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
World,WLD,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0422148,91.79895036,95.01073278,106.2356874,117.524392,126.0379457,134.2767719,147.5658472,159.9485256,157.6134834,166.5981099,180.7609632,183.2744823,190.5957436,191.2900426,180.8879903,183.873809,192.7928545,,,
Andorra,AND,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982.1533203,987.0887451,1085.657959,1416.62854,1673.30249,1785.594604,1878.848022,2076.066895,2034.216919,1823.388062,1705.856689,1782.161377,1692.888306,1777.687134,1860.370972,1565.07666,1606.317871,1688.12146,,,
Argentina,ARG,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.2435455,197.9292755,66.77300262,73.66724396,85.58005524,128.9841919,141.3860168,161.4918823,177.9885101,167.4174194,175.6376648,192.3247681,164.8357391,174.9379272,158.6132202,180.0052643,153.3244934,198.9359436,,,
Australia,AUS,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.762146,318.4750366,351.338562,429.0942078,529.9750366,590.0978394,627.5354004,721.0026855,778.5741577,761.6387329,978.1374512,1126.74353,1205.432861,1151.067871,1102.610474,926.0721436,916.8548584,967.8370361,,,
Austria,AUT,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.4042358,421.0515442,462.7502441,582.5761108,692.5928345,711.4920044,729.5957642,841.1697388,919.0147705,886.1796875,892.1551514,967.159729,927.4257202,1003.395203,1028.708862,880.2849121,910.8095703,948.6174316,,,
Belgium,BEL,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.2573242,367.9246521,433.0593262,578.2490845,607.9962769,598.984375,648.390686,766.2932129,836.857666,829.5298462,808.602356,882.6208496,818.3708496,874.5490723,864.7681274,731.598999,764.3917847,795.0175781,,,
Brazil,BRA,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0406342,101.832016,89.59784698,88.86584473,104.1020584,137.5160522,166.1604309,198.5178528,217.4281006,224.0993195,262.0467224,300.4644165,282.255188,274.585144,284.5722046,220.7721558,218.06633,255.0064392,,,
Canada,CAN,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.8774414,327.1850281,342.1704102,389.1448975,445.3959961,504.5264282,569.5584106,620.2578125,653.2178345,622.2420044,738.8182373,747.8687744,745.0293579,728.6920776,693.46875,615.2404785,638.3361816,676.1417236,,,
Cayman Islands,CYM,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.46529198,28.20620537,31.09298706,34.02184677,37.43505859,41.74569702,45.79538345,50.13558197,62.89808273,71.14313507,76.59527588,95.8052597,111.2387695,125.2337723,132.263916,137.8468628,143.0256653,158.9194489,,,
Denmark,DNK,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.3038025,393.4141846,426.5056458,525.0842896,623.8255005,653.4940796,694.2023315,796.2958374,866.5187988,851.4136353,864.8031006,913.93573,850.0849609,861.2727051,878.9250488,747.9193115,763.1755371,796.8518677,,,
Finland,FIN,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.6611328,392.8702698,432.9828796,538.326355,614.2061768,642.9944458,648.1153564,748.1664429,843.4193115,810.4025269,818.4810791,879.6222534,824.6833496,832.8212891,896.9765015,815.2358398,839.453186,850.7133179,,,
France,FRA,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.857666,160.7112885,174.0412903,221.2666779,250.1711121,263.336853,356.229248,410.1802979,479.0128784,479.4907837,469.4764099,504.2705078,469.9369812,486.5456238,491.0635071,408.0764465,406.6002808,411.0032043,,,
Germany,DEU,Out-of-pocket expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.7336731,287.5360718,320.9466248,401.4067688,480.4859924,499.7845764,534.1270142,601.322876,654.0935059,646.2266846,645.4852905,705.9835205,671.3508911,676.3545532,680.5368652,599.597168,609.8961792,637.8852539,,,
