Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Andorra,AND,Out-of-pocket expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.89478779,47.42711186,48.11569154,51.06642842,52.92778611,50.49583316,50.92135072,50.7032454,48.41379523,46.6113627,45.43219209,44.39961314,43.88948977,43.27659011,42.80395806,42.3558265,41.79089069,41.77705348,,,
Argentina,ARG,Out-of-pocket expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.10433114,29.47439849,29.99389768,28.24989259,27.62963176,33.06791484,31.60444498,29.26903069,25.6215632,22.53738791,19.70937252,17.99764931,14.11185265,14.4944191,14.55834955,13.78933191,15.98309577,15.01852721,,,
Australia,AUS,Out-of-pocket expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.99708021,20.43881565,19.9200809,19.14785355,19.21848506,19.64298338,19.74958777,19.00250018,19.04173046,19.0527007,19.74927187,19.17252541,19.9342072,19.7154209,19.55827028,18.94660145,18.33779067,18.15210283,,,
Austria,AUT,Out-of-pocket expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.82221943,18.46295744,18.61328632,18.8883692,19.30190474,19.1832602,18.80627722,18.80613863,18.24393272,18.05128604,18.60162616,18.73956323,18.67409199,19.17125136,19.09817606,19.09111291,19.30112839,19.2032665,,,
Belgium,BEL,Out-of-pocket expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.22722811,19.58826482,20.87109536,20.61561644,18.67632717,17.93370098,18.66180748,19.21070814,18.43404472,18.16453636,18.17270666,18.17521751,17.73408204,18.03226322,17.49034077,17.53991246,17.86475033,17.63822287,,,
Brazil,BRA,Out-of-pocket expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.59222126,37.80702949,36.40619814,35.47385931,35.36583483,35.876441,34.37126577,33.09412003,30.88409305,31.21032119,29.3852061,29.29958403,29.68203127,28.17706764,28.18024755,28.44441533,27.40692198,27.45549381,,,
Canada,CAN,Out-of-pocket expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6052103,15.92599452,15.90833962,15.25148004,15.28786868,15.36829323,15.11857808,14.80204165,14.66703713,14.3118754,14.64707404,13.94955367,13.77405971,13.63234073,13.64677101,13.55412304,14.12830651,14.21975046,,,
Cayman Islands,CYM,Out-of-pocket expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,Out-of-pocket expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.12533903,64.19143677,62.85082102,60.71776748,58.76867771,57.68999457,55.99118471,51.29120946,47.3682493,43.45622063,40.80001414,40.26554227,39.23458755,38.15951645,36.56483293,35.08928716,35.9061867,36.05041206,,,
Denmark,DNK,Out-of-pocket expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3564319,15.11594802,14.72838521,14.55719471,14.87114131,14.70920742,14.52642977,14.56182599,14.11779821,13.68460506,14.38572407,14.55079019,14.15904015,13.81007284,13.77456188,13.67477924,13.71238232,13.73846531,,,
