Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Andorra,AND,Adjusted net national income per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Adjusted net national income per capita (current US$),,,,,,,,,,,1207.061748,1317.621044,1314.315494,1995.458931,2683.415959,1921.981496,1814.51108,1975.966971,1979.825322,2264.908951,2451.05945,2440.064891,2518.293822,3075.144764,2300.833988,2531.829964,3225.154035,3151.338876,3538.367938,1958.127847,3757.967903,5123.467905,6181.538277,6328.548309,6746.237057,6572.913815,6859.587277,7259.554214,7304.575066,6734.478942,6606.315206,6159.209567,2047.207657,2748.637565,3248.674301,3850.909541,4932.310862,6148.001944,7634.127279,6936.958171,8803.454618,10956.76217,11131.98044,11123.52746,10433.99318,11821.44997,10892.49927,12344.28413,9631.763691,,
Australia,AUS,Adjusted net national income per capita (current US$),,,,,,,,,,,2693.130672,2845.365693,3267.976334,3970.228345,5359.773675,5818.021482,6219.518636,6354.785294,6756.02623,7458.530697,8207.049499,9727.734446,10271.04222,9377.896513,10068.4595,9122.05304,9056.954372,9252.515248,11447.2706,14142.46404,14129.78624,14614.02964,14439.03096,13921.18061,14378.07392,16043.8765,17314.37324,18604.75083,16982.1765,16353.98061,17053.45338,15432.98904,15966.47072,18701.8125,24129.21392,26330.93655,27633.44259,30910.81851,37434.37457,33071.57992,40009.66904,47825.99289,52858.37555,53239.17306,48104.18296,44138.53671,38730.38596,41849.22499,43345.8711,,
Austria,AUT,Adjusted net national income per capita (current US$),,,,,,,,,,,1762.560168,2036.005522,2500.078485,3335.023702,3961.755732,4503.928695,4861.116327,5805.25222,6962.653497,8321.867942,9183.866109,7873.049438,7903.674828,8045.040731,7576.539685,7745.58322,11022.67277,13796.84188,14886.88846,14802.58343,18412.91977,18912.8793,21002.64122,20254.801,21553.26349,25393.73683,25034.70217,22290.41994,22794.27213,22352.30848,20343.65612,20128.50553,21823.04094,26670.99804,30565.74184,31857.48637,33974.79742,39121.08434,43479.99655,39508.73273,38999.70374,42579.37918,39994.17236,41696.65786,42429.83484,35813.10112,37144.08808,38586.6923,42094.99701,,
Belgium,BEL,Adjusted net national income per capita (current US$),,,,,,,,,,,2410.191318,2691.090045,3348.836874,4306.107619,5022.495472,5874.76039,6392.809466,7361.852688,8978.928612,10243.13486,10887.99675,8915.091462,7803.28696,7386.130933,7122.159595,7405.354311,10349.30599,12944.76274,14095.62734,14176.1553,17695.26291,18093.55853,20054.32213,19265.77861,21128.18011,24609.41601,23720.53694,21434.12634,21836.05056,21652.86969,19805.46824,19527.99258,21086.2631,25824.78713,29722.84301,30803.56381,32307.85511,36933.72274,40253.60144,36728.19538,36309.07335,38241.78423,36970.20525,38775.64928,39500.84333,33795.34984,34526.60176,36529.15715,38859.97107,,
Brazil,BRA,Adjusted net national income per capita (current US$),,,,,,,,,,,398.0539476,452.8608267,525.9736442,690.284997,892.1825829,1013.688084,1216.874855,1373.47851,1514.491267,1642.490014,1646.274047,1788.478778,1844.162522,1267.023779,1275.869513,1328.088922,1593.359142,1730.287466,1908.332529,2693.953135,2616.393373,3404.125515,2235.384583,2388.346671,2945.166594,4133.210344,4443.584509,4511.52155,4283.989068,2883.797685,3154.522704,2646.125089,2357.838581,2566.031255,3017.371792,3969.224735,4891.541638,6100.648232,7270.874815,7274.15418,9343.418936,10986.50316,10301.75391,10407.0929,10193.57083,7486.550126,7396.633878,8417.924909,7483.434669,,
Canada,CAN,Adjusted net national income per capita (current US$),,,,,,,,,,,3409.864065,3753.355155,4253.883264,4832.638103,5709.237948,6147.715173,7229.31811,7283.552126,7433.558123,7932.794047,8757.046269,9763.694011,9871.591473,10711.45691,11101.82538,11340.56371,11699.3711,13247.64633,15347.45713,16731.97634,17195.56976,17586.91894,16735.31411,16171.48569,16021.12294,16630.8615,17030.67288,17602.27345,16843.19067,17924.48739,19531.83589,19045.08414,19641.02533,22951.81406,26083.43682,29546.50031,33091.63952,36480.6108,37759.14543,32922.04597,38584.91897,42476.63692,42856.45946,42898.55527,41435.36246,35215.36584,34217.18717,36907.61301,37653.28136,,
Cayman Islands,CYM,Adjusted net national income per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,Adjusted net national income per capita (current US$),,,,,,,,,,,104.1843483,109.1289697,120.9415343,143.6214405,143.0837128,156.5745261,142.9168881,159.5555133,132.9726256,148.5481118,154.175889,155.6029861,165.1947988,188.3735431,213.1405115,251.1059605,245.3877831,217.4464159,248.2373816,269.1356936,271.3056277,290.3541134,322.4157767,328.6080176,412.0187984,518.538702,601.1175279,661.4138162,695.7330264,729.5297319,791.7176555,866.2516297,949.815153,1060.448836,1213.132883,1388.437113,1642.555382,2074.920654,2579.137944,2910.973447,3362.863238,4002.010954,4591.284623,5139.663616,5716.809365,6055.255658,6138.718128,6648.528529,7709.671559,,
Denmark,DNK,Adjusted net national income per capita (current US$),,,,,,,,,,,2941.50356,3252.298881,3943.026125,5290.32129,5744.766734,6809.628261,7554.959218,8443.500834,10249.40236,11792.15192,11625.42726,9901.04909,9631.664627,9692.463244,9431.305091,9985.750037,14187.01591,17587.54046,18363.80913,17637.74747,21551.49548,21535.62115,23729.79478,22180.10739,24293.85368,28806.55237,29026.07581,26711.46013,27337.28089,27399.41536,24678.1563,24863.42837,26837.65562,32687.04088,38021.22172,40240.30694,43187.47243,47956.36876,52192.93129,47565.08749,48020.20807,51290.35265,48737.90339,51904.38867,53743.43231,45799.35156,46831.60592,48741.85592,52641.13452,,
Finland,FIN,Adjusted net national income per capita (current US$),,,,,,,,,,,2137.893109,2331.777412,2722.306166,3559.935109,4481.94651,5229.751936,5605.992088,5796.104342,6254.733424,7740.970701,9262.689849,8941.341451,8947.928355,8545.407068,8840.973093,9305.618333,12247.00474,15131.7745,17981.03391,19230.19835,22301.9945,19441.05195,16726.97862,13112.34883,15459.12188,20757.26392,20574.82452,20049.51481,21138.65261,21505.07233,20019.97653,20684.43689,22351.94701,26996.59081,31444.81316,32320.35593,34290.39283,40123.45584,43949.27926,38621.05977,38213.82335,41709.43949,38691.99014,40403.35062,41063.36615,35071.77465,35799.05376,37753.76408,41000.95481,,
France,FRA,Adjusted net national income per capita (current US$),,,,,,,,,,,2514.628371,2783.986115,3371.691042,4337.314833,4608.993481,5756.284809,5897.030244,6445.469733,7988.808637,9642.251544,10914.31282,9481.300544,8906.704857,8414.805116,7913.612728,8260.771483,11563.1713,13961.5842,15147.3435,15111.54853,18564.69048,18318.7159,20162.67211,18931.42478,19882.4385,22820.36556,22951.27811,20809.75499,21532.60709,21426.09649,19294.26192,19356.81284,20632.07541,25269.59846,28831.61853,29725.90449,31166.15219,35446.52302,38533.55717,35101.59539,34362.55143,37138.07826,34395.20554,35867.25673,36186.25183,30896.22767,31182.4688,32708.48557,34835.01215,,
Germany,DEU,Adjusted net national income per capita (current US$),,,,,,,,,,,2420.36561,2781.474508,3310.623563,4388.717626,4867.387479,5345.695586,5704.04783,6598.541905,8169.819758,9671.932046,10334.67732,8600.514012,8304.830551,8295.276675,7863.247013,7966.077057,11388.12842,14069.65263,15242.32249,15135.63164,19017.42384,19771.81831,22311.83672,21371.40941,22642.81027,26437.25083,25447.6087,22430.91414,22614.39844,22102.59782,19499.56344,19428.43731,20510.20642,24727.57325,28410.07673,28837.6947,30765.58102,35115.12533,37929.07869,34718.0694,34848.99668,39510.82987,36959.53505,38933.8101,40300.84672,34715.75811,35641.27399,37540.83824,40284.96091,,
Greenland,GRL,Adjusted net national income per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,HKG,Adjusted net national income per capita (current US$),,,,,,,,,,,,,,,,,,,,,5131.069436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Adjusted net national income per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32111.01451,32306.84878,39147.75799,43246.42013,42302.94757,50341.64848,58220.28991,58080.29499,,
India,IND,Adjusted net national income per capita (current US$),,,,,,,,,,,104.0494636,109.5175164,113.4048969,132.9284115,150.1749509,143.1885908,146.3873746,168.0732639,185.4636819,201.0911931,240.8482695,242.0838068,242.662204,258.4838783,244.3752222,260.1838858,273.9820021,300.5977429,312.7538153,302.8448595,321.1004567,263.4499556,276.0458601,262.2698856,302.9207174,326.0684209,349.5595208,363.8320593,364.2095922,389.970085,386.7647808,394.2017469,410.8045184,476.7612398,548.1318537,621.48335,699.3819235,891.5848347,852.1268773,957.9084149,1171.9979,1256.484413,1246.473132,1251.528285,1365.396839,1404.45172,1503.878512,1730.733672,1735.329397,,
Indonesia,IDN,Adjusted net national income per capita (current US$),,,,,,,,,,,72.92889096,72.09499894,80.4801517,113.9806291,158.8259909,187.3294924,225.6353303,265.4213376,295.2186934,241.6453492,352.0017531,439.7426852,490.7981546,420.3788488,427.4106227,427.6358577,410.1294476,369.6051913,411.063058,438.3226738,476.6296707,537.3875137,581.0353964,722.0690079,810.7041108,908.9110973,1006.612683,942.4115528,393.1283077,556.2651089,632.0942622,540.7698105,666.3902185,782.7891184,820.8915885,882.6459807,1127.617972,1318.821146,1538.50403,1672.34183,2325.786398,2682.120062,2747.100495,2705.093687,2625.297602,2540.584132,2806.763833,3007.523268,2998.690092,,
