Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
World,WLD,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,1.676379146,3.557358335,4.015124283,-3.158402784,-1.07758319,3.109322133,1.802397527,2.70583056,0.232148145,-1.223596633,0.004789059,-0.938409586,1.88188558,4.165380376,3.160921021,1.795315182,0.890315653,0.738461184,1.721040096,1.388253911,-0.15301089,0.874597055,-0.051441253,2.238719845,1.78656676,0.777999867,2.17398344,0.205833712,1.344789395,2.1549474,0.574668028,2.401548606,0.202967863,4.056679056,2.341069877,3.591005303,3.701333019,-1.491239198,-2.255604265,3.879012557,1.731533797,1.63306699,1.277648839,1.96527245,2.015472698,1.198603421,2.138626478,1.666628902,,
Andorra,AND,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,8.742201473,-2.150266293,4.197577202,1.767194292,-1.438952619,-3.568430778,3.970224457,-6.72412389,5.184217378,2.368408701,-8.026542789,-8.745693955,3.236242062,0.372819721,-8.078588248,7.134371933,-0.404584551,-2.154358184,-14.23200509,-0.996649837,13.7926244,12.73949472,4.291108912,3.818323957,-5.630313253,5.14808012,6.305958612,1.977414005,-6.601091377,-2.1695456,-5.863412398,-11.99998752,9.52750245,-2.24130162,5.92315694,19.19900613,10.75492634,4.817809495,-7.841582323,11.38221617,8.232948142,-2.386144361,0.708360714,-4.952868969,2.977133565,-3.2110749,2.489033594,-6.295101645,,
Australia,AUS,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,0.188641227,4.386801381,5.23601095,0.815139435,2.641175244,0.077981615,0.858422317,0.081625307,0.882804726,2.433337446,3.230699403,0.465396463,-0.828068033,3.338114919,0.464324853,1.199670418,0.247620947,5.921679776,2.98745798,-0.090950186,-1.567605453,-0.993003034,3.649453531,3.072648125,2.031494291,3.798514028,3.466421824,3.630697525,2.881882104,2.094769305,1.926262577,3.225629458,2.314321706,4.085043208,1.06428769,2.082341634,3.283366215,2.913663504,4.008496081,-0.364895179,4.36336705,3.737652385,-0.759128525,-1.141459017,-0.540575511,-1.434071842,3.39222761,-0.792799801,,
Austria,AUT,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,4.143436921,5.799797623,5.379696404,1.889966945,0.257438598,4.707955978,4.579046179,0.476117565,5.247203081,0.759928484,-1.0422641,1.837066023,3.761231672,0.174907211,2.13687271,2.650632447,1.816683873,3.776365386,3.385991553,3.688435994,1.884246036,0.866446281,-0.885573311,2.034033653,1.993530386,2.064959477,1.306843426,3.229085416,1.72066736,3.434702531,-0.147965467,2.138044682,0.439723373,2.357160986,1.144580353,3.615141139,3.063263332,1.259288915,-5.317048102,1.66724459,1.176405755,-0.849649088,-0.819022684,0.105602779,-0.58952869,2.518027532,-0.074408571,2.204689066,,
Belgium,BEL,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,3.153533715,6.00557762,6.582945143,1.35002,-1.485551594,5.556650701,-0.060789778,2.76412362,1.809666711,-0.699688036,-2.618190561,-0.117975239,0.830597944,3.17932491,2.855496128,4.764110009,3.081529715,5.67556051,3.222561465,2.506770605,1.737028725,1.991349052,0.299746453,3.578721203,1.377914024,0.261681276,3.302229429,1.791296605,2.154336207,2.454723108,-0.34602003,1.430905116,-0.099245194,1.921934044,0.770697945,1.098586335,2.818138361,-2.122136312,-2.203104048,0.518788112,-2.601102667,2.61347491,0.526765336,1.200171154,1.74261421,1.14935538,1.316986967,-0.62408213,,
Brazil,BRA,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,8.92838003,9.704597839,9.580841082,2.702725372,0.518431385,11.1772011,4.392284188,-0.655074174,3.998179659,3.000590934,-6.340752144,-2.320999329,-3.551558604,6.147420937,1.299585094,4.884512711,0.879073931,-0.373846648,9.611109652,-14.64594459,4.901048089,-0.531285977,0.940312769,2.255010558,6.802850129,-1.239668298,1.010406571,-2.557152514,-3.750825103,2.976392017,-0.438295417,2.408424001,-0.363131545,4.013037249,2.160197242,3.616224206,4.338447728,3.214309853,4.412338853,4.137976407,4.284868447,1.58016194,3.39722418,-1.172026382,-3.653214815,-4.020283718,0.075862736,-1.088923652,,
Canada,CAN,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,1.860519596,5.345501927,5.974667353,2.329416005,1.112106792,4.204273441,0.807655715,1.692605339,0.253629677,0.310161808,1.863010972,-4.106861786,2.430875598,4.551073742,3.846342154,0.925857448,3.819164005,3.298705733,0.650402487,-2.378250656,-2.906098796,-1.410651723,1.377594883,3.21294522,3.007195585,0.564718942,3.403046591,1.135689219,5.161044278,6.295936005,-0.42782421,2.109387491,2.882359728,3.735601563,3.597791698,2.523085674,1.97308992,0.291206659,-7.337328744,4.337333757,3.453893194,0.211029075,1.615672333,1.274053899,-3.126886651,-0.414829664,4.121274947,0.156608424,,
Cayman Islands,CYM,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1830293,8.143845146,7.555030507,7.693710174,7.920501571,10.02832469,10.86936858,10.50280268,9.579498206,11.90211416,12.99054468,13.6488319,5.543115458,12.70015074,8.883560195,4.654323222,8.955334509,7.242733115,9.208851158,8.173552781,7.179425779,5.260359764,9.260373767,,
Denmark,DNK,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,1.514146538,3.698022288,6.398381897,-5.897786685,0.627426188,6.192099167,2.271895182,3.769278489,1.198647478,-3.718424375,-2.862039189,2.448403588,3.173727604,3.543080129,3.963110527,7.144799423,0.462854073,-1.315360816,-0.321628835,1.13120619,0.484295932,3.02034187,-0.298584448,5.19148415,2.95532842,2.690044697,2.656399051,2.291187501,2.44310394,1.810276072,1.100442207,0.28673637,0.289539613,3.946296278,3.902972749,3.886784082,-1.078630381,-1.090773326,-4.724224475,4.150320245,0.399705893,0.460640362,2.870268263,3.099937037,1.932991793,1.643517274,0.906523457,1.981442015,,
Finland,FIN,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,0.797970874,6.708448096,5.949284778,0.012559619,-1.550632392,1.954826756,-2.047140764,3.484307266,7.670665676,1.887555265,1.127631229,2.497029773,1.81837409,4.226185981,2.515199415,4.060227066,2.967460188,6.303804022,2.390754275,-2.678812797,-10.38193346,-5.93294524,-2.028290728,6.698893206,11.24735352,3.073554355,8.121474501,6.341811289,4.50103348,4.201821736,3.100926414,1.176760182,-0.614875676,4.381906685,0.529439992,3.013228667,4.020293756,-1.715682003,-8.481183877,2.879712882,0.532098095,-2.883323636,-1.054438037,0.640705343,1.712716497,2.115664201,2.254872765,2.241691672,,
France,FRA,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,4.386061664,3.561622169,5.431109824,-0.158704435,-0.930369831,3.303181296,2.25865637,5.27998028,2.806194622,-0.817373996,-1.03215575,1.381316546,0.561126878,0.390769042,1.88732807,4.72871314,2.246341043,4.623472355,3.039915637,2.226360554,-0.459524256,1.431575093,-0.876652006,1.857541475,1.771970195,1.438119014,2.54275938,3.915657665,3.672065969,1.840116703,1.295318933,-0.331561278,0.187978294,1.842971065,0.619844184,1.320561904,1.997059002,-0.964143354,-3.340509395,1.204405586,1.247159937,-1.040432755,0.496615008,0.786042473,1.993206885,0.987092968,1.752995052,0.548702771,,
Germany,DEU,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,2.977767629,3.786776908,4.171153023,-0.878973939,-0.488650941,5.246325463,3.468739446,4.24005822,2.572880915,-1.082043853,-1.977639649,-0.377309618,2.547909846,3.131870811,2.756522179,5.468408172,1.954718499,4.004061306,2.563912609,4.649013984,3.041431903,1.639535549,-2.022732255,2.071574817,1.423087383,0.42050523,0.906392774,2.10596859,1.777376956,1.260851656,1.275044577,-0.502978654,-0.291536423,3.244649781,0.348002549,4.741379913,2.955463238,-0.643904097,-4.009158063,3.880514128,5.844113807,-0.359011469,0.287542606,2.112280283,2.211232526,2.322872798,1.714949386,0.689532752,,
Greenland,GRL,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.048612635,14.20223422,3.145468275,7.885369789,7.371510137,2.402454873,-2.885182581,,
India,IND,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,-0.961073615,-0.958700798,1.734170611,-6.456289939,2.476997672,5.238861444,4.91071717,2.083739356,-5.101808062,6.248429033,0.989080105,-0.981750172,5.668281338,0.59123461,1.962191777,1.969068687,2.93485527,5.657994353,3.504006274,3.824567195,-0.325092857,2.940390257,3.195998578,4.353709684,4.748389127,5.145263112,2.630750903,5.938617845,4.475527498,0.992540556,3.241101598,2.819080588,5.85956066,6.818255789,7.111326976,6.661102,6.764235453,0.862495289,8.05493622,8.611985882,3.556830915,4.80026916,4.872483331,5.353480046,7.799379238,6.297387425,7.110597773,4.539429172,,
Indonesia,IDN,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,5.594313594,2.792869536,7.359687184,6.599483427,1.309752664,5.429229007,7.793958109,6.733998814,1.541445062,22.63938205,13.58203472,4.358264949,218.9907875,43.64345312,38.22332619,-5.949555137,-17.208699,-61.43696302,11.75324373,55.82589957,-21.7926803,11.63079216,38.50422886,27.60975138,3.773689604,-41.52365148,-12.54147099,-93.13125275,-364.8055384,173.6825403,29.79032548,-128.8511216,-446.417257,-88.43809883,229.7967258,-52.49142261,-644.8268572,-2.748661443,22.63231752,1.033622195,4.084915799,3.464283986,4.215721122,3.4075759,4.28800722,6.768897746,4.360432756,2.804345442,,
Ireland,IRL,Adjusted net national income per capita (annual % growth),,,,,,,,,,,,3.214732805,8.160856908,4.842208259,-7.062557079,3.778575117,0.698911451,3.707518106,3.862959468,-0.894185652,-2.463464425,1.555388629,0.27411977,-0.489512556,1.120329797,1.732481436,2.817251145,3.045427741,3.522960218,5.447917702,6.529836811,-0.127486643,0.556738979,4.274919452,4.545050956,7.333809937,6.605496483,8.529388908,8.137448949,4.857749723,8.528733712,2.361888651,1.942556021,3.284304946,0.830078581,3.169086643,1.524315913,1.173062479,-5.526968096,-9.67696855,0.882005679,-2.285242929,-1.07457347,6.342377092,7.171837047,5.042067771,6.254697933,0.60994611,2.498456458,,
