Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
World,WLD,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.0096909,206.7933509,219.1194161,242.7090597,263.9039347,280.7888164,295.9854352,321.3617147,341.1355185,342.0399949,358.6884116,381.5692125,388.8877704,399.6421515,405.070351,395.7190531,408.8735307,426.9576073,,,
Andorra,AND,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198.227051,1204.248291,1324.502686,1728.286743,2041.429199,2178.425537,2292.19458,2532.801514,2481.744385,2224.533447,2081.145264,2174.236816,2065.32373,2168.778564,2269.652588,1909.393555,1959.707886,2059.508057,,,
Argentina,ARG,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.0157471,301.8338318,96.78829193,117.2007828,129.815033,184.8805389,207.7544861,241.9964752,279.5952148,273.1656494,311.9694214,338.6245728,313.6616211,303.8201599,248.0037384,287.4278564,244.824646,358.5852356,,,
Australia,AUS,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.1798096,502.4155579,553.3525391,715.9825439,872.9319458,949.2364502,1007.032959,1164.531006,1267.558472,1227.402832,1553.358765,1809.308594,1963.12207,1894.448853,1840.211426,1553.928467,1570.201782,1657.510254,,,
Austria,AUT,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.8087158,601.0245972,660.3619385,828.4994507,1002.726929,1014.327148,1053.288086,1216.658447,1320.416138,1333.018188,1323.933228,1409.535278,1347.190063,1456.630493,1480.346191,1270.044189,1311.16394,1363.774048,,,
Belgium,BEL,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.9864197,463.3345337,545.2221069,722.4681396,775.3453979,775.7045898,832.8864136,979.5094604,1038.272095,1015.602356,990.9689331,1090.269653,1010.440735,1086.072632,1085.027344,935.4641724,980.1826172,1026.893555,,,
Brazil,BRA,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.9026947,157.9102631,141.0117798,142.6564789,167.1923981,223.4708099,275.3920898,344.5126648,395.6760864,399.8537598,488.0875244,565.6785278,537.4047241,539.9950562,563.5778198,442.4665222,453.2577209,539.2072754,,,
Canada,CAN,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.5964966,558.7666016,592.8277588,685.3435059,784.8121948,885.2174072,1008.808594,1112.406982,1173.200073,1126.806763,1322.338745,1371.274048,1378.40271,1361.917603,1297.01123,1152.590698,1179.339111,1249.665161,,,
Cayman Islands,CYM,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.03554535,33.77331161,36.84046936,40.06264877,44.35523605,48.50588608,52.93075943,59.42347717,73.45940399,82.66832733,90.05955505,109.9310684,125.3407898,140.7724762,150.312149,156.3935394,166.8887787,190.9930573,,,
Denmark,DNK,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.6481018,431.8907776,468.9533081,580.37854,690.0951538,722.2116089,770.822937,890.8922119,980.8248901,966.9277954,969.076416,1029.229248,961.8250122,981.5577393,1008.831726,865.0734863,883.6816406,926.6329346,,,
Finland,FIN,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.0691833,438.9506531,482.5543518,599.2800293,683.8908691,721.1251221,732.3327026,842.4331665,960.0568237,926.163208,931.8737793,1006.841187,950.4877319,953.2715454,1036.898193,923.2299805,961.5431519,977.9450073,,,
France,FRA,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.4371338,461.9934082,507.7424622,636.5540161,732.3818359,761.7255249,866.3979492,988.3121338,1123.189209,1107.420532,1086.493774,1179.968628,1109.444946,1160.249146,1164.496216,980.2980347,984.4889526,1003.309998,,,
Germany,DEU,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.0849609,509.247345,563.8998413,704.7556763,824.6810303,858.2227783,907.7876587,1030.288086,1139.73291,1125.484009,1114.720093,1233.18811,1165.234985,1203.353516,1214.893555,1065.378296,1077.282593,1124.479004,,,
Greenland,GRL,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.3044434,497.9946899,573.9460449,725.1171875,845.18396,971.5807495,915.2559814,1064.064819,860.710083,665.4668579,713.3709106,771.3035889,743.8093872,796.3730469,872.8880005,821.0991821,936.2564087,1105.969727,,,
India,IND,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.22738075,15.65067101,16.11520576,17.60183144,20.05926895,21.74089241,23.1456604,27.90343666,28.68593407,28.18368721,32.95304871,34.23126221,34.85983276,43.09631348,43.19961548,43.42759323,43.96032715,49.93478394,,,
Indonesia,IDN,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.07592678,10.71001911,13.02880669,16.84999847,17.26462364,24.83376122,31.14970589,36.53384399,39.83996964,41.60438538,67.27728271,77.27907562,73.86574554,72.46517181,69.15010834,59.54869843,60.93856812,58.75032806,,,
Ireland,IRL,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.9836121,392.8730469,460.0897217,616.7974243,733.0494385,831.8849487,918.7866821,1007.629395,1161.302124,1256.645752,1221.697876,1538.563721,1463.186279,1535.797485,1563.014893,1277.086182,1299.219238,1329.246094,,,
Israel,ISR,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.4750366,544.3688965,468.5588684,502.8780518,529.1969604,584.7331543,571.1642456,678.3650513,791.8900757,756.0235596,793.8995972,869.4320068,855.1511841,932.2199097,989.7062988,927.0535278,991.4414063,1088.470581,,,
Italy,ITA,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.0243225,402.3147583,439.2904663,532.3435059,608.3984375,602.5151978,629.7022705,695.2906494,779.1292725,721.2188721,692.6192017,778.7040405,745.9846191,765.1193237,776.9277954,688.2547607,694.3175659,741.3484497,,,
Japan,JPN,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.2944946,472.0192261,462.788269,529.3625488,567.2590942,542.9433594,541.9758911,519.8552246,605.0630493,689.4637451,733.788147,827.1311035,837.5437622,682.4703979,651.0827637,594.2893677,666.4312134,663.1809082,,,
"Korea, Rep.",KOR,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.4057159,226.9007263,239.9585571,287.3273315,315.2615051,386.3251648,443.6024475,509.5865173,498.0484009,458.1473389,563.4799194,635.006958,670.7699585,724.6970825,817.3109131,821.7810669,865.7025757,973.1052856,,,
Luxembourg,LUX,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.541626,496.0697937,575.1968994,742.2634277,869.5527344,923.1248169,985.4035034,977.0233765,933.164917,1016.369324,1049.855713,1124.177368,1122.883057,939.4876709,948.5631714,772.2674561,777.427002,797.4723511,,,
"Macao SAR, China",MAC,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.6251373,199.0436859,215.0533905,234.8140411,246.1210938,272.7059326,286.4577332,304.9462585,301.0096436,254.737442,276.6610718,275.0686646,281.1297607,291.8645935,278.5787048,252.8911438,225.9510193,239.8570557,,,
Monaco,MCO,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.7592468,285.7799683,310.6581726,423.5032349,487.9229431,498.2438965,515.1558838,592.1747437,675.5404663,633.9761353,624.989624,665.578125,634.951416,700.2744751,733.7797241,633.4309082,599.7230225,595.1640625,,,
Netherlands,NLD,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.4102173,660.203064,760.3708496,965.835083,1156.514771,1206.946533,1217.602539,1441.7948,1790.606689,1752.817627,1698.060913,1815.559204,1755.684814,1808.400391,1809.967651,1632.883057,1672.343384,1747.319092,,,
New Zealand,NZL,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.8859863,281.4221497,312.4162292,394.7215881,455.5168762,529.0864258,524.3158569,558.9091797,635.163269,601.7409058,698.8658447,769.4868164,817.9632568,884.5378418,935.2702637,906.5014648,952.9941406,966.2753296,,,
Nigeria,NGA,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.47062778,12.34272957,12.98254204,29.91170311,30.26191139,37.62319183,48.82771301,51.95766449,61.76015854,53.69675064,61.48280716,65.60540771,69.78072357,75.09732056,80.26161194,72.00279999,60.84061813,57.59186172,,,
Norway,NOR,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.1707153,533.0259399,665.7688599,779.8098755,865.6698608,946.5404663,981.6773071,1123.901001,1228.214478,1132.697144,1200.016357,1386.404053,1367.474243,1384.07019,1341.401367,1095.900269,1096.06897,1152.912842,,,
Poland,POL,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.64861298,83.87828827,94.88944244,106.5699768,127.5346146,146.5701904,162.5827789,200.3517151,257.0189514,214.6242523,231.8352966,250.9442444,245.9414368,259.6125793,273.6287537,246.24086,253.5664368,281.2438354,,,
Qatar,QAT,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.8469238,243.1529541,273.2339172,301.3235168,321.5775757,331.85672,334.0917053,333.7272644,336.0848083,383.0451965,364.9263,363.8038635,322.9399109,290.2198181,278.980896,298.4107361,309.083374,317.6784973,,,
Russian Federation,RUS,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.58653259,49.32755661,58.44045258,68.753479,86.01460266,105.4120483,134.7157745,174.9633636,227.6132355,196,219.1265564,255.7510376,275.848938,305.1567383,283.65271,207.1724548,201.9606171,251.4055023,,,
San Marino,SMR,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.2457886,547.9573364,602.4093628,633.7472534,688.2410889,680.4899902,720.1397705,776.1735229,868.7317505,859.116333,766.3015137,794.2612915,724.6825562,739.8486328,731.2737427,639.3285522,599.666626,616.984375,,,
Saudi Arabia,SAU,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.4279175,105.8976364,101.8275986,105.1703262,113.858223,129.0963745,149.7472687,173.6483459,216.7296295,241.766922,267.4476624,290.5585938,322.5888062,338.5644226,367.8537598,392.0675964,388.1723633,392.6744385,,,
Singapore,SGP,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.5147705,509.6611633,516.6119995,521.5667114,560.0331421,578.5543213,624.9664917,721.5360718,799.4349976,865.3251343,970.5014648,1071.750488,1130.872437,1232.784546,1229.735718,1231.12146,1311.086426,1356.378784,,,
Spain,ESP,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.2192383,302.4937134,338.554657,468.2564697,544.3260498,577.1575317,613.4458008,706.0216064,782.4025879,716.9291992,700.6939697,759.8986816,720.2030029,762.1854858,790.7823486,676.7877197,691.1052246,736.4946289,,,
Sweden,SWE,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.3791809,393.88974,441.2486267,546.2120361,626.5806274,651.9764404,689.3403931,784.3082275,844.1389771,748.9441528,803.8685913,1024.003662,1029.970581,1117.085083,1102.562012,936.9793701,947.6156006,962.7468872,,,
Switzerland,CHE,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2691.985107,2795.683594,3067.63501,3655.928711,4116.174805,4167.60791,4141.533203,4487.067871,5148.072754,5245.496582,5526.447266,6537.26416,6276.613281,6647.174805,6938.325195,6822.849121,6914.020996,6920.314453,,,
Thailand,THA,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.89465141,25.76095581,26.22837448,28.11050606,29.81024361,33.12800217,29.23098373,30.86457062,37.11333084,40.85656738,44.9021492,45.81483841,49.11035538,50.55830765,52.59770584,53.09771729,53.97908401,58.40600967,,,
Turkey,TUR,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.45630646,50.3099556,56.05727005,68.72863007,84.76565552,117.6865692,129.854538,160.0565338,155.836792,97.51938629,118.6607513,110.9651413,109.3128357,119.5995331,118.0664215,99.40765381,101.0305481,99.1124115,,,
United Arab Emirates,ARE,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.6886902,177.4069824,329.9236755,340.5445862,381.8751831,394.9404602,420.6941528,452.4607849,483.6147461,352.5019836,396.0993958,409.2643738,395.7808228,436.2069397,468.2597961,403.052887,372.3279419,380.3191528,,,
United Kingdom,GBR,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.5347595,320.3673401,355.6273193,428.3781128,475.6537476,496.0502014,505.0553284,613.1556396,555.0233154,484.5888977,503.7982178,550.1690674,540.1323853,844.3883667,918.2227173,865.3654785,784.9334106,794.0466919,,,
United States,USA,Domestic private health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2544.962646,2693.514648,2923.556396,3160.312012,3340.072754,3523.673828,3661.335205,3847.321289,3903.953857,3980.814697,4095.469727,4204.598633,4353.75293,4422.727539,4526.197266,4720.74707,4959.347656,5106.866211,,,
