Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Andorra,AND,Domestic private health expenditure (% of current health expenditure),58.43164444,57.86107635,58.70114517,62.30104065,64.57189941,61.60491562,62.12405014,61.85796356,59.06483078,56.8658638,55.42727661,54.16752625,53.54517746,52.79743576,52.22083282,51.67411041,50.98488998,50.96800232,,,
Argentina,ARG,Domestic private health expenditure (% of current health expenditure),45.2376709,44.94721985,43.47652054,44.9441185,41.91094589,47.39816666,46.439991,43.85980225,40.24792099,36.77300262,35.00798798,31.6883049,26.85307503,25.17291069,22.76307869,22.01845551,25.52140045,27.07113647,,,
Australia,AUS,Domestic private health expenditure (% of current health expenditure),31.62069702,32.24391174,31.37382889,31.94968796,31.6554184,31.59793854,31.69272804,30.69220161,31.00099182,30.70414734,31.36346626,30.78677368,32.46425629,32.44807434,32.64202499,31.79194641,31.40522194,31.08715057,,,
Austria,AUT,Domestic private health expenditure (% of current health expenditure),25.83659363,26.35471153,26.56185913,26.86173248,27.94504738,27.34831047,27.1498642,27.20098877,26.21240234,27.15328979,27.60429382,27.31097412,27.12621307,27.83093834,27.48290825,27.54398918,27.78511047,27.60745811,,,
Belgium,BEL,Domestic private health expenditure (% of current health expenditure),25.46908557,24.66787398,26.27672553,25.75727999,23.81693125,23.22473675,23.97191525,24.55596626,22.87073731,22.23903835,22.27125168,22.45118916,21.89623415,22.39365131,21.94518447,22.4275291,22.90803939,22.78261334,,,
Brazil,BRA,Domestic private health expenditure (% of current health expenditure),58.0462532,58.62711716,57.29716492,56.9462471,56.79906082,58.30109787,56.96648407,57.43232346,56.20293045,55.68764877,54.73280716,55.16176224,56.51361847,55.41260147,55.80924606,57.00765228,56.96614838,58.05422592,,,
Canada,CAN,Domestic private health expenditure (% of current health expenditure),27.14836311,27.19841576,27.56201553,26.86018372,26.93806648,26.96445656,26.77820587,26.54685402,26.34246445,25.91711617,26.21536827,25.57756042,25.48383141,25.47870064,25.52388382,25.39227676,26.10233688,26.28136253,,,
Cayman Islands,CYM,Domestic private health expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,
China,CHN,Domestic private health expenditure (% of current health expenditure),77.99923706,76.86101532,74.46868134,71.49859619,69.63254547,67.03216553,64.71517181,60.79319763,55.32193756,50.4961319,47.97203064,46.20240784,44.20846939,42.89426041,41.5543251,39.81039047,41.89694977,43.32621002,,,
Denmark,DNK,Domestic private health expenditure (% of current health expenditure),16.89263344,16.59431648,16.19421768,16.09014893,16.4509201,16.25593948,16.12974358,16.29170418,15.98013306,15.54124165,16.12027931,16.38637733,16.02018547,15.73878098,15.81046581,15.81679726,15.87758255,15.97601032,,,
Finland,FIN,Domestic private health expenditure (% of current health expenditure),25.73061883,25.25642514,24.47378337,23.87547493,23.36664945,23.17707092,22.2837016,22.31712043,22.24682271,22.15745747,22.73091227,22.13420123,21.54737711,22.13420123,21.87565714,22.39837497,23.48162383,23.25249761,,,
France,FRA,Domestic private health expenditure (% of current health expenditure),21.11943626,21.08789635,20.82407951,21.22152519,21.21351624,21.31534004,22.7249794,22.9066143,23.4299736,23.44140625,23.65340614,23.91793633,23.84729958,23.67666817,23.34654617,23.31772041,23.12656492,22.90804833,,,
Germany,DEU,Domestic private health expenditure (% of current health expenditure),21.71994019,21.75274849,22.10013008,22.45688438,23.94860458,24.19419861,24.63850594,24.7263546,24.58475304,24.24043417,24.24756885,24.55752343,24.50724095,23.62102717,22.96271473,23.07266742,22.75540829,22.34011739,,,
Greenland,GRL,Domestic private health expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,
Hong Kong,HKG,Domestic private health expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Domestic private health expenditure (% of current health expenditure),19.42706871,19.47368622,18.56656265,18.33407784,18.79032326,18.63595009,18.04621506,17.48626709,17.40349388,18.01833344,19.57227898,19.94384575,20.06602859,19.75730133,19.50059319,19.17750168,18.48991394,18.17142868,,,
India,IND,Domestic private health expenditure (% of current health expenditure),76.63829041,78.79404449,79.3826828,79.76470947,79.78323364,78.34146881,78.05872345,77.58825684,75.50202179,73.37129974,72.82318115,70.25712585,71.06796265,76.65864563,75.58837891,73.64810944,72.51978302,72.0631485,,,
Indonesia,IDN,Domestic private health expenditure (% of current health expenditure),68.37154388,60.55125427,65.50093079,63.23952103,63.62566376,70.07492828,67.57299042,62.95544434,64.49468994,64.10018158,72.97910309,71.94898987,68.99703979,67.60113525,63.53531647,59.29332352,54.74482346,51.09977722,,,
Ireland,IRL,Domestic private health expenditure (% of current health expenditure),22.48503494,21.56087112,21.00829124,21.23638153,21.08308792,21.13171768,22.17421913,20.76614571,20.67806816,22.9277916,23.82174492,27.65630531,27.92556381,28.81417847,28.98470688,27.97571182,27.52028465,26.70757103,,,
Israel,ISR,Domestic private health expenditure (% of current health expenditure),34.56970596,35.3123703,33.76769257,35.47399521,35.9628067,38.02627182,36.24098969,38.10840988,37.3237114,37.47961807,35.90649796,36.06482315,35.98134995,35.19377899,35.4924202,35.11152649,34.7121582,34.61367035,,,
