Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
World,WLD,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.617628104,9.011905416,9.334608978,9.481677173,9.362673404,9.287687457,9.2076022,9.04536581,9.065464549,9.834786361,9.517210828,9.388330038,9.395438773,9.441009301,9.525011208,9.823785792,9.97845327,9.883829542,,,
Andorra,AND,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.348101169,9.363031387,9.119281173,8.463995904,8.210543543,8.565982431,8.434281498,8.428402245,8.792541921,9.026736766,9.449671209,9.765893966,10.04694104,10.11211351,10.27647853,10.25271267,10.32410711,10.32055244,,,
Argentina,ARG,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.466964215,8.620967716,7.64670223,7.112254202,7.228682935,7.61083886,7.550247759,7.611107081,7.672165334,9.010462463,8.613662422,8.396562934,8.457037807,8.371347189,8.258233219,8.788504452,7.544399053,9.124314785,,,
Australia,AUS,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.613872737,7.696311921,7.893258333,7.904408127,8.109592646,7.990119606,7.989377528,8.067583293,8.255802095,8.563221991,8.4308438,8.54151994,8.675699681,8.758559823,9.038034081,9.314739704,9.196083993,9.205947816,,,
Austria,AUT,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.203714132,9.269428998,9.3947649,9.547239542,9.709398448,9.6270293,9.531132877,9.532096982,9.72564593,10.22582501,10.22101864,10.02613306,10.19915566,10.28574929,10.36809236,10.36778986,10.41916981,10.39661691,,,
Belgium,BEL,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.942003757,8.105319738,8.263498545,9.105971456,9.125046432,9.006975591,8.912083507,8.948877454,9.336792678,10.13503894,9.974732995,10.13665572,10.26577801,10.36965922,10.41449532,10.28013229,10.30445471,10.33866927,,,
Brazil,BRA,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.334801346,8.549931645,8.704341948,8.197110891,8.135350049,8.044081926,8.25888291,8.207753301,8.01595822,8.402491361,7.949066907,7.788301259,7.735300809,7.977093756,8.396054059,8.870203793,9.206205606,9.467476606,,,
Canada,CAN,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.275678754,8.655299991,8.888238668,9.042792022,9.09723565,9.064386785,9.349177033,9.444859624,9.603937715,10.71428657,10.68207175,10.35250351,10.34789234,10.22734493,10.05561575,10.510692,10.73787659,10.57276949,,,
Cayman Islands,CYM,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.473415017,4.220350832,4.348249361,4.380323738,4.25689593,4.142215103,3.918709978,3.658684716,3.877227008,4.321824387,4.207991436,4.325513169,4.549399018,4.71002236,4.773227125,4.888723046,4.981880635,5.151193216,,,
Denmark,DNK,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.104380965,8.448326588,8.702512085,8.903630823,9.007430822,9.090571105,9.168796986,9.325155616,9.51134339,10.67431718,10.33315584,10.15290841,10.24135575,10.16958281,10.17190367,10.22716537,10.18123403,10.10827944,,,
Finland,FIN,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.842897087,6.992945075,7.3654145,7.669642568,7.797157019,8.003917336,8.009721339,7.831271738,8.090815693,8.879847825,8.877124637,8.957631886,9.301526845,8.672653139,9.493074566,9.704122692,9.42838788,9.206938744,,,
France,FRA,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.584477544,9.70562771,10.02218649,10.08283347,10.16429365,10.21484435,10.39758101,10.33461094,10.51360667,11.30099744,11.23902351,11.20309308,11.31547019,11.43572927,11.57112494,11.4590764,11.4789255,11.31289229,,,
Germany,DEU,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.837324172,9.872468561,10.11682451,10.33755541,10.08033082,10.22769734,10.11682823,9.971192479,10.15739292,11.13982946,11.0054031,10.7205376,10.77690274,10.93190983,10.96046045,11.0880129,11.13065928,11.2468347,,,
Greenland,GRL,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.951125294,8.817038685,9.489692748,9.977671504,9.464410692,9.147135913,8.829599619,8.632069081,8.586940914,8.867631108,8.532291651,8.251312375,8.19516778,8.22141096,8.279339224,8.152368665,8.126642555,8.326291293,,,
India,IND,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03493233,4.262781143,4.240166768,4.008479789,3.957392275,3.791162372,3.634778038,3.517541662,3.514680639,3.485378623,3.272119164,3.246342018,3.329353034,3.749441728,3.619565442,3.595659882,3.510983288,3.534959629,,,
Indonesia,IDN,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.909314096,2.174175158,2.033047937,2.301337384,2.172131464,2.584090456,2.672021836,2.876170725,2.613000758,2.684943378,2.960899845,2.955420315,2.902866714,2.960650623,3.117121011,3.011822514,3.119054809,2.989054471,,,
Ireland,IRL,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.905280635,6.399335712,6.674513221,7.008606941,7.225116342,7.647806406,7.513321191,7.802485675,9.102024138,10.48682556,10.50335094,10.68889946,10.6810905,10.28554514,9.652171284,7.335802913,7.382569462,7.184383273,,,
Israel,ISR,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.807062775,7.231108844,7.152485847,7.09823221,7.033304125,7.129754871,6.913996488,6.894224882,6.972803921,7.067006826,7.024657726,6.971810758,7.107847929,7.072549313,7.143173367,7.086516172,7.325906307,7.407464087,,,
Italy,ITA,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.580372691,7.768862695,7.893034816,7.855414599,8.187796921,8.361204714,8.459686488,8.16283673,8.561831713,8.976536989,8.953611553,8.834642917,8.956061304,8.952267468,9.011440724,8.98803398,8.880628645,8.840259165,,,
Japan,JPN,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15091303,7.359197736,7.473364472,7.611002773,7.657194138,7.780668885,7.807842642,7.89046064,8.199514449,9.05829668,9.156773239,10.61671749,10.79065353,10.79159379,10.8320497,10.88550687,10.82552895,10.93593314,,,
"Korea, Rep.",KOR,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.998532519,4.575431347,4.315283895,4.596621916,4.580429941,4.837430269,5.180264264,5.376113951,5.675645173,6.090024859,6.221941113,6.294254214,6.437445432,6.57883808,6.821474433,7.045055926,7.32512027,7.603863627,,,
Luxembourg,LUX,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.901361629,6.410922855,6.738471985,6.972715259,7.345485687,7.182568312,6.708382815,6.234724075,6.538402289,7.339793444,7.03124404,6.111482903,6.571893394,5.673171952,5.555498973,5.47898896,5.468732491,5.481074378,,,
"Macao SAR, China",MAC,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.449124634,4.820358008,5.071642622,5.814864486,5.953903124,5.836121738,5.655255169,5.766445026,5.69886975,6.12978451,5.9751302,5.701141432,5.84224537,5.940777436,5.630386248,5.797087401,5.616091937,5.516541377,,,
Monaco,MCO,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.734314486,1.762623154,1.78920608,2.083111741,2.125338465,2.11626105,2.019359916,1.788016036,1.924046502,2.276206017,2.33060699,2.178610303,2.234616503,2.149694599,2.086791769,2.028333396,1.749095507,1.772702299,,,
Netherlands,NLD,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.706960291,8.059458435,8.649131656,9.056570381,9.110764414,9.096668661,9.080551565,9.052925557,9.276604652,9.992926568,10.15508771,10.23357883,10.53898707,10.58363616,10.56703776,10.32393798,10.30060574,10.10083482,,,
New Zealand,NZL,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.470022142,7.578936219,7.900459319,7.721692324,7.900905609,8.273348957,8.632995933,8.321332186,9.113627672,9.623537213,9.588436782,9.510231018,9.652346373,9.366187453,9.424130619,9.328305721,9.29223001,9.170055389,,,
Nigeria,NGA,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.197384253,3.189469501,2.490640245,5.053609237,4.633682966,4.465918988,4.257751256,3.909973055,3.695815802,3.580197319,3.296532854,3.320779279,3.359842673,3.420693055,3.348403797,3.581949696,3.647736832,3.755538538,,,
Norway,NOR,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.70907104,8.020593226,9.005493671,9.218992293,8.826300502,8.332771808,7.91631192,8.047933131,7.955513895,9.064172953,8.897772431,8.779023588,8.76544416,8.916901797,9.327557683,10.10889262,10.5194889,10.44634208,,,
Poland,POL,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.298166722,5.678643659,6.079196557,5.962313712,5.868634582,5.807254836,5.800673738,5.872912332,6.373452395,6.586829573,6.419091672,6.233820692,6.201083213,6.375479698,6.352540106,6.397911906,6.543077528,6.541953981,,,
Qatar,QAT,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.008652128,2.314331569,2.456635796,3.529639542,3.07446178,2.569088154,2.203381062,1.973329857,1.600121893,2.149522677,1.789239049,1.599962078,1.748221554,2.0762017,2.422960848,3.11748907,3.0493645,2.607428655,,,
Russian Federation,RUS,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02310656,5.246192962,5.525188521,5.166982487,4.763412103,4.774818942,4.769585282,4.750955477,4.906768724,5.647527054,4.974289984,4.797973856,4.948974773,5.088209733,5.188795552,5.295170844,5.265467241,5.344577879,,,
San Marino,SMR,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.278094858,5.121600628,4.965936765,4.380505159,4.907340184,4.932296649,4.994703829,5.13984561,5.446756259,6.283783913,6.624383479,7.444359362,8.006405085,7.727155834,7.567261904,7.351348549,6.834965944,7.364083081,,,
Saudi Arabia,SAU,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.211594164,4.46173586,4.249376431,3.979097307,3.584006056,3.41867283,3.619224951,3.562287241,2.971004136,4.290419444,3.647856042,3.71177718,4.019623995,4.465683177,5.227954686,5.998345092,5.835629627,5.23025319,,,
Singapore,SGP,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.351741657,3.181058913,3.380251303,3.630940244,3.173555061,3.042963147,2.951292694,2.852637693,3.217931464,3.429339454,3.248543665,3.189135343,3.367587924,3.714843839,3.891367093,4.204509035,4.42238152,4.440382868,,,
Spain,ESP,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.816061586,6.783133745,6.802923232,7.528949529,7.615680993,7.672857493,7.754267752,7.83220306,8.288741112,8.984182775,9.011272341,9.078246355,9.071517736,9.020145237,9.023626149,9.109248221,8.97140801,8.873129636,,,
Sweden,SWE,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.402285188,8.021907508,8.348850906,8.453098685,8.25170055,8.267921954,8.151193708,8.064294606,8.303080499,8.934969455,8.477182686,10.66594943,10.92613414,11.08894423,11.129722,11.00371927,10.9761335,11.01874635,,,
Switzerland,CHE,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.843565524,10.23142189,10.64117774,10.93651131,11.00394204,10.82196906,10.21397859,10.01601145,10.15153974,10.80916002,10.69854274,10.76850593,11.0578604,11.31379008,11.49436533,11.88430414,12.22136542,12.34632209,,,
Thailand,THA,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.10125351,3.026232123,3.33472304,3.243127838,3.138936311,3.159722313,3.099700995,3.192771971,3.459339589,3.619400039,3.390097991,3.568261117,3.522940725,3.453133255,3.684480861,3.667894006,3.76332067,3.746016324,,,
Turkey,TUR,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.621873796,4.924443364,5.10102883,5.058810487,4.959243536,4.941643775,5.188490823,5.28075695,5.259439349,5.533872172,5.053646117,4.687921703,4.477877915,4.4041235,4.347248003,4.138546064,4.314314201,4.216302931,,,
United Arab Emirates,ARE,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37413533,2.484370582,2.71770861,2.646343969,2.462043427,2.320196852,2.325413749,2.565696277,2.928477712,4.049993306,3.878745064,3.670072928,3.425204381,3.592995182,3.630209342,3.583594412,3.403416276,3.334282339,,,
United Kingdom,GBR,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.97159192,6.310986727,6.568206847,6.832544506,7.035588473,7.174565643,7.308196276,7.406117022,7.64548108,8.481582999,8.433944732,8.37611109,8.285918087,9.765764326,9.756682068,9.686845541,9.699044377,9.631694108,,,
United States,USA,Current health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.50252426,13.16940933,13.95503283,14.45544511,14.53713328,14.54213858,14.65883106,14.89903331,15.29529393,16.34410173,16.41195267,16.37629271,16.37153327,16.34751707,16.53166264,16.83988124,17.19726026,17.06126928,,,
