Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Andorra,AND,Current health expenditure per capita (current US$),2050.647461,2081.275391,2256.349121,2774.0896,3161.482178,3536.122803,3689.705566,4094.544434,4201.729492,3911.895996,3754.731445,4013.911865,3857.161133,4107.733887,4346.258301,3695.067871,3843.702881,4040.786621,,,
Argentina,ARG,Current health expenditure per capita (current US$),705.1993408,671.52948,222.621994,260.769989,309.7401428,390.0584412,447.3611755,551.75,694.6824341,742.8430176,891.1377563,1068.610596,1168.065796,1206.932861,1089.5,1305.39502,959.2915649,1324.603516,,,
Australia,AUS,Current health expenditure per capita (current US$),1632.427612,1558.187378,1763.740723,2240.952148,2757.631836,3004.114746,3177.460693,3794.251709,4088.778076,3997.537109,4952.777344,5876.865723,6047.057617,5838.413574,5637.566895,4887.800781,4999.810547,5331.817871,,,
Austria,AUT,Current health expenditure per capita (current US$),2263.490479,2280.520508,2486.128418,3084.311279,3588.209717,3708.921387,3879.533203,4472.84668,5037.371582,4909.23291,4796.113281,5161.058105,4966.376465,5233.853516,5386.424805,4610.966797,4718.944336,4939.875488,,,
Belgium,BEL,Current health expenditure per capita (current US$),1845.321045,1878.291138,2074.923828,2804.908447,3255.437744,3339.992676,3474.425781,3988.885986,4539.739746,4566.755371,4449.542969,4856.177734,4614.677734,4849.913574,4944.26123,4171.053223,4278.771484,4507.356445,,,
Brazil,BRA,Current health expenditure per capita (current US$),311.6526794,269.3467712,246.1060333,250.5107574,294.357666,383.3045959,483.4282837,599.8584595,704.0132446,718.029541,891.7641602,1025.490356,950.9295044,974.4987183,1009.828674,776.152832,795.6615601,928.7993164,,,
Canada,CAN,Current health expenditure per capita (current US$),1998.634277,2054.408691,2150.886719,2551.522217,2913.394775,3282.904785,3767.274902,4190.353027,4453.645996,4347.731934,5044.135254,5361.238281,5408.930664,5345.318359,5081.559082,4539.139648,4518.13623,4754.947754,,,
Cayman Islands,CYM,Current health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,
China,CHN,Current health expenditure per capita (current US$),42.35367584,43.94076157,49.47109604,56.03277206,63.6989975,72.36211395,81.79035187,97.74692535,132.7853088,163.7121887,187.7334747,237.9336243,283.5221863,328.184906,361.7244263,392.8460388,398.3315735,440.8256226,,,
Denmark,DNK,Current health expenditure per capita (current US$),2496.047119,2602.642822,2895.807373,3607.042969,4194.873535,4442.755371,4778.891602,5468.379395,6137.776367,6221.688965,6011.536621,6281.004395,6003.832031,6236.554199,6380.78418,5469.333984,5565.59375,5800.151367,,,
