Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
World,WLD,Physicians (per 1000 people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.290056436,,,,,,,,,,1.244221125,,,,,,,,,,1.330132105,,,,,,,1.565633443,,,
World,WLD,External health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.592637537,0.576982845,0.628653618,0.696619875,1.067177135,1.041922709,1.252183864,1.433700082,1.644916285,1.702939125,2.027251935,2.222647364,2.217321831,2.405294719,2.719751118,2.240838561,2.080522064,2.148571314,,,
World,WLD,External health expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125131361,0.118647836,0.12198598,0.120506964,0.167497753,0.15429266,0.174870652,0.182793925,0.193374835,0.19734554,0.22571011,0.228370446,0.225474396,0.239089451,0.264364059,0.226744685,0.205600786,0.205338178,,,
World,WLD,Domestic general government health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.2503825,280.6059385,297.385889,337.221888,375.6774442,398.2087783,424.2763177,467.070071,513.8402229,526.1021571,548.0714024,599.2942981,601.7211669,613.7506507,631.4426708,600.6428398,610.1792859,631.8681937,,,
World,WLD,Domestic general government health expenditure (% of general government expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.43166422,,,,,
World,WLD,Domestic general government health expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.55136807,57.50351524,57.50000826,58.06724203,58.63121526,58.55176587,58.8021241,59.13133343,59.98563541,60.48601853,60.30939573,60.96666148,60.61474416,60.42427001,60.76908556,60.15912556,59.76661986,59.53976421,,,
World,WLD,Domestic general government health expenditure (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.96437802,5.186288077,5.371184091,5.508185203,5.493108791,5.441540513,5.416335637,5.347970175,5.440601871,5.94631836,5.737389415,5.723242532,5.693860863,5.704002575,5.783422013,5.913157139,5.964331131,5.888632627,,,
World,WLD,Hospital beds (per 1000 people),,,,,,,,,,,3.078735149,,,,,2.397681706,,,,,3.593618264,,,,,4.123949067,,,,,3.646975971,3.426951254,,,,,,,,,,,2.875609193,3.057890224,,2.879006653,,,,,,2.704488106,,,,,,,,,
World,WLD,Adjusted net national income (annual % growth),,,,,,,,,,,,3.818673604,5.660818679,6.060651303,-1.273954439,0.767347593,4.950618071,3.583419912,4.500989566,1.998157164,0.503550736,1.769206801,0.844776556,3.699403922,5.984897832,4.964759593,3.597315133,2.689401969,2.521930711,3.489728868,3.147985574,1.510875886,2.458439045,1.509680005,3.794695943,3.323777651,2.242596587,3.632228366,1.600859019,2.714768382,3.506532377,1.879719525,3.709017954,1.46700607,5.361823034,3.617187817,4.879359645,4.982812787,-0.270407727,-1.05991149,5.12893909,2.921838188,2.836241908,2.476508852,3.168270405,3.207114609,2.375065596,3.305020853,2.788583264,,
World,WLD,Adjusted net national income (current US$),,,,,,,,,,,2.56E+12,2.82E+12,3.26E+12,3.96E+12,4.46E+12,4.96E+12,5.37E+12,6.05E+12,7.17E+12,8.14E+12,9.07E+12,9.43E+12,9.41E+12,9.55E+12,9.94E+12,1.04E+13,1.24E+13,1.41E+13,1.59E+13,1.65E+13,1.86E+13,1.97E+13,2.10E+13,2.12E+13,2.29E+13,2.55E+13,2.62E+13,2.62E+13,2.63E+13,2.72E+13,2.79E+13,2.78E+13,2.88E+13,3.23E+13,3.64E+13,3.93E+13,4.27E+13,4.78E+13,5.15E+13,4.91E+13,5.39E+13,5.96E+13,6.12E+13,6.29E+13,6.51E+13,6.19E+13,6.27E+13,6.66E+13,7.05E+13,,
